,HCT_H vs HCT_N
Metabolite ,Ratio
UDP-glucose,1.00087855
Lactoylglutathione,1.751200557
Methylhistidine,1.083755837
Ethylacrylylcarnitine,1.232364208
Hydroxyisovalerylcarnitine,1.173539585
Phospho-D-erythronate,1.047619928
5'-Methylthioadenosine,1.020754373
5'-Phosphoribosyl-N-formylglycinamide,1.074257386
7-Methylguanosine,1.067393968
Acetylaminocarnitine,1.03767931
Acetylcholine,1.024135351
Alanine,1.026347679
Allantoin,1.021391152
Betaine,1.017041724
Butyrylcarnitine,1.020461686
Carnitine,1.014288025
Choline,1.018385368
Choline phosphate,1.015182513
Tetradecenoylcarnitine,1.014896346
Creatine,1.027703323
Creatinine,1.030250582
dCMP,1.032990751
Dehydrosphinganine,1.173290793
D-Gluconic acid,1.023871616
D-Glucosamine-phosphate,1.051336055
D-Glyceraldehyde -phosphate,1.032951309
Dihydrothymine,1.005073291
Aminooctanoic acid,1.005038233
Ribose-phosphate (Pentose Phosphate),1.28376768
D-Sorbitol,1.023626365
Ethanolamine Phosphate,1.080343068
Ether PE,1.02065562
Fumarate,1.031326146
GABA,1.019445871
gamma-L-Glutamyl-L-cysteine,1.019575481
Glutamate 5-semialdehyde,1.020642838
Glutamyl-Leucine,1.021939387
Glycerolphosphate,1.062010485
Glycerylphosphorylethanolamine,1.200798108
GPC,1.122610617
GSH,1.001448834
Guanidino butyric acid,1.044331887
Homocysteine,1.007625401
Hydroxymethylphosphonate,1.0311052
Hypotaurine,1.2357288
L-Arginine,1.017756175
L-Asparagine,1.098641259
L-Aspartate,1.008824869
Fucose Phosphate,1.218554349
L-Glutamate,1.014450631
L-Glutamine,1.038617395
L-Histidine,1.052553466
L-isoLeucine,1.018228241
L-Kynurenine,1.064504233
L-Leucine,1.021166863
L-Lysine,1.015918507
L-Methionine,1.076888635
L-Ornithine,1.021926275
L-Palmitoylcarnitine,1.139149193
L-Phenylalanine,1.07450572
L-Proline,1.043388592
L-Serine,1.100917985
L-Threonine,1.0274478
L-Tryptophan,1.073435149
L-Tyrosine,1.024774472
L-Valine,1.018864508
Lyso PC 522,1.060790174
Lyso PC 524,1.155372309
Lyso PC 549,1.065172705
Malate,1.028680192
NAAG,1.120527556
N-Acetyl-L-aspartate,1.033416257
N-Acetyl-L-glutamate,1.020127175
N-Acetylornithine,1.044618767
N-Methylethanolamine phosphate,1.014079205
O-Acetyl-L-homoserine,1.027086728
Phosphatidyl glycerol,1.011276017
Phosphocreatine,1.012149015
Phosphodimethylethanolamine,1.030743207
Phosphoenol pyruvate,1.006246776
Phosphoric acid,1.013731868
Porphobilinogen,1.087713302
Proline Betaine,1.042458024
Pyridoxine,1.021554287
Pyroglutamate,1.005083375
Pyrophosphate,1.065296873
S-Adenosyl-L-methionine,1.017882203
Taurine,1.063268773
Tetrahydrodipicolinate,1.035950975
Thiamine,1.010400118
Thyroacetic acid,1.099987858
UDP-N-acetyl-D-glucosamine,1.005189958
Valerylcarnitine,1.044008048
Xanthine,1.001504445
