,APCmin vs Control
,Ratio
1-hexadecanol,4.56
1-methyladenosine,1.31
"2,3-bisphospho-glycerate",2.74
2-aminobutyric acid,0.95
2-aminoethanol,0.95
2-dehydro-D-gluconate,1.21
2'-deoxyuridine,2.41
2-hydroxybutyric acid,0.69
2-hydroxypropionic acid,0.715
2-hydroxypyridine,0.98
"3,4-dihydroxymandelic acid",1.27
3-hydroxyisovaleric acid,0.38
3-hydroxy-butyrate,1.4
4-hydroxyMandelate,3.05
4-hydroxyphenylacetic acid,1.05
4-hydroxyphenylpyruvate,0.94
Acetoacetic acid,0.71
Acetylsalicylic acid,1.33
Adenine,2.01
Alanine,2.01
Allose,0.5
Anthranilic acid,2.75
Adipic acid,1.91
Arabinose,1.21
Arabinose-5-phosphate,0.24
Arabitol,0.27
Ascorbic acid,5.27
a-sorbopyranose,0.63
Asparagine,1.98
Aspartic acid,1.08
b-alanine,0.49
Benzoic acid,3.03
b-glutamic acid,0.86
b-lactose,2.06
Catechol,0.93
Citric acid+Isocitric acid,1.12
Citrulline,2.24
Coniferyl aldehyde,17.9
Creatinine,1.36
Cystathionine,1.08
Cysteine+Cystine,1.79
Dopa,0.5
Elaidic acid,0.8
Fructose,0.6
Fructose 6-phosphate,0.63
Fucose,0.85
Fumaric acid,0.76
Galactosamine,4.4
Galactose,0.78
Galacturonic acid,0.56
Glucarate,1.54
"Gulcono-1,4-lactone",1.25
Glucosamine,1.78
Glucose,1.16
Glucuronate,0.57
Glutamic acid,0.72
Glutamine,1.35
Glutaric acid,1.3
Glyceric acid,0.75
Glycerol,0.61
Glycine,1.18
Glycolic acid,0.41
Heptadecanoate,0.91
Hippurate,1.58
Histidine,2.01
Histidinol,0.65
Homoserine,3.91
Hydrocinnamate,0.69
Hydroxybutyrate,2.57
Hypoxanthine,0.94
Inosine,0.35
Inositol,1.13
Isobutylamine,1
Isoleucine,1.38
Ketoisoleucine,0.37
Ketovaline,0.65
Lactic acid,1.18
Lauric acid,1.47
Lysine,3.07
Lyxose,1.59
Malic acid,0.84
Malonic acid,1.87
Mannose,1.21
Meso-erythritol,0.98
Methionine,1.26
N-acetyl-D-glucosamine,0.6
N-acetyl-L-glutamate,1.74
n-caprylic acid,5.57
N-methylethanolamine,1.07
Nonanoic acid,1.9
N-formylglycine,1.082
n-propylamine,0.97
O-phosphoethanolamine,0.57
Ornithine,3.07
Orotic acid,3.65
Oxamic acid,0.91
Palmitoleate,0.2
Pantothenate,1.54
Phenylalanine,1.34
Phosphate,1.13
Proline,2.68
Putrescine,1.2
Pyruvate+Oxalacetic acid,1.05
Ribitol,0.44
Ribose,0.28
Ribulose-5-phosphate,0.17
Saccharopine,1.39
Salicyl alcohol-b-glucoside,1.96
Sarcosine,5.92
Serine,1.25
Spermidine,1.063
Succinic acid,1.08
Taurine,1.29
Threitol,1.16
Threonine,1.31
Thymine,3.19
Trans-4-hydroxy-L-proline,2.07
Tryptophan,0.37
Turanose,1.35
Tyrosine,1.46
Uracil,1.74
Urea,1.26
Uric acid,0.55
Valine,1.34
Xanthurenate,0.37
Xylitol,0.42
Xylulose,0.58
Xylose,1.87
