,HT-29-implanted mice vs Control
,Ratio
"1,5-anhydro-D-glucitol",1.02
1-hexadecanol,0.98
"2,3-bisphospho-glycerate",0.92
2-aminoethanol,0.77
2-hydroxypyridine,0.35
3-hydroxyisovaleric acid,0.73
3-hydroxy-butyrate,0.94
4-aminobutyric acid,1.11
4-hydroxypyridine,0.25
5-keto-D-gluconate,1.01
Acetoacetic acid,0.54
Acetylsalicylic acid,1.84
Aconitate,0.77
Alanine,1.21
Allantoin,0.93
Allose,1.08
Arabinose,1.31
Arabinose-5-phosphate,0.82
Arabitol,0.84
a-sorbopyranose,1.06
Asparagine,1.43
Aspartic acid,1.39
beta-alanine,0.68
Citric acid+Isocitric acid,0.73
Citrulline,1.59
Coniferyl aldehyde,0.79
Creatinine,1
Cysteine sulfonic acid,1.18
Dihydroxyacetone,1.12
Dopa,0.88
Fructose,1
Fumaric acid,0.47
Galactosamine,1.08
Galactose,1.06
Glucose,0.88
Glucuronate,0.84
Glutamic acid,0.98
Glutamine,1.27
Glyceric acid,0.78
Glycerol,0.75
Glycine,1.15
Glycolic acid,0.96
Heptadecanoate,1.03
Hippurate,1.68
Histidine,1.45
Histidinol,0.99
Homocysteine,0.64
Hydrocinnamate,1.94
Hydroxybutyrate,1.33
Hypoxanthine,0.38
Inositol,1.18
Isoleucine,1.48
Ketoisoleucine,0.75
Ketovaline,0.76
Lactic acid,0.84
Lysine,1.2
Malic acid,0.44
Mannose,0.79
Meso-erythritol,0.98
Methionine,1.4
N-a-acetyl-L-lysine,1.07
n-butylamine,0.95
n-caprylic acid,1.15
Nicotinamide,0.9
N-methylethanolamine,0.99
Nonanoic acid,1.15
O-phosphoethanolamine,1.05
Ornithine,2
Phenylalanine,1.52
Phosphate,0.92
Phosphoenolpyruvic acid,1.15
Proline,1.62
Psicose,1.38
Pyroglutamic acid,0.97
Pyruvate+Oxalacetic acid,0.58
Ribitol,0.89
Ribose,0.63
Ribulose,0.55
Ribulose-5-phosphate,0.8
Serine,1.37
Spermidine,0.97
Succinic acid,0.62
Tagatose,2.11
Taurine,1.06
Threo-b-hydroxyaspartic acid,1.56
Threonine,1.76
Trans-4-hydroxy-L-proline,1.59
Tryptophan,1.3
Tyrosine,1.02
Uracil,0.9
Urea,0.88
Uric acid,0.96
Urocanate,1.31
Valine,1.4
Xylitol,0.92
