compound,Rep Sen  vs  Early,Rep Sen  vs  Ctl-Inf,Rep Sen  vs  Ras,Early  vs  Ctl-Inf,Early  vs  Ras,Ctl-Inf  vs  Ras
,ratio,ratio,ratio,ratio,ratio,ratio
1-arachidonoylglycerophosphoethanolamine,2.519982824,2.213641843,4.163464127,0.87843529,1.652179565,1.880821028
1-arachidonoylglycerophosphoinositol,0.423556059,0.767057551,0.290515157,1.810994165,0.685895411,0.378739713
1-heptadecanoylglycerophosphocholine,1.448032285,0.486249942,0.9573307,0.335800484,0.661125246,1.96880373
1-linoleoylglycerophosphocholine,0.637865621,0.163698613,0.269979575,0.256634952,0.423254626,1.649247785
1-methylnicotinamide,2.002591525,2.333232055,7.830595855,1.165106327,3.910231197,3.356115324
1-myristoylglycerophosphocholine,1.638182223,0.63103292,0.502454114,0.38520313,0.306714422,0.796240732
1-oleoylglycerol,0.854239277,0.316594299,0.160527916,0.37061548,0.187919147,0.507046136
1-oleoylglycerophosphocholine,0.902664177,0.229252154,0.244888906,0.253972806,0.271295696,1.068207655
1-oleoylglycerophosphoethanolamine,1.12975357,1.025855955,1.195434793,0.908035153,1.058137654,1.165304726
1-oleoylglycerophosphoinositol,0.696827374,1.025561856,0.408302194,1.471758852,0.585944539,0.398125371
1-palmitoleoylglycerophosphocholine,0.56353614,0.148213265,0.194796164,0.263005786,0.345667563,1.31429642
1-palmitoylglycerol,1.840207481,0.926336126,1.11740959,0.503386784,0.60721935,1.206267962
1-palmitoylglycerophosphocholine,1.069204648,0.277690216,0.37908648,0.259716619,0.354549974,1.365141649
1-palmitoylglycerophosphoethanolamine,1.158341358,1.142920596,1.900770501,0.986687205,1.640941583,1.663081851
1-palmitoylplasmenylethanolamine,1.725734296,1.032700463,0.657757522,0.598412203,0.381146462,0.636929629
1-pentadecanoylglycerophosphocholine,1.620004916,0.558064252,0.933528523,0.344483061,0.576250426,1.672797567
1-stearoylglycerol,1.461301562,0.792142235,0.933323925,0.542079921,0.638693579,1.178227702
1-stearoylglycerophosphocholine,1.791687299,0.315651444,0.409093641,0.176175521,0.228328705,1.296029684
1-stearoylglycerophosphoethanolamine,1.756836315,1.278251814,1.066848826,0.727587313,0.607255677,0.834615538
1-stearoylglycerophosphoinositol,1.457792397,1.986793342,1.330852765,1.362878107,0.912923382,0.66984962
10-heptadecenoate,1.102761676,0.990531354,0.468108822,0.898227945,0.42448775,0.472583548
10-nonadecenoate,0.87953068,0.824344169,0.19886907,0.937254593,0.226108167,0.241245195
13-HODE + 9-HODE,0.752077317,1.105814247,1.869540461,1.470346496,2.485835458,1.690646024
13-methylmyristic acid,2.31354246,3.114990322,3.481873973,1.346415887,1.504996789,1.117780029
15-HETE,1.008453843,1.511789544,2.416131919,1.499116251,2.395877547,1.598193299
2'-deoxyinosine,0.072303802,0.256717527,0.681673675,3.550539804,9.427909127,2.655345284
2-aminoadipate,0.375888881,0.531532054,1.486956317,1.414066978,3.955840122,2.797491337
2-aminobutyrate,0.875745209,0.761986411,0.76838123,0.870100576,0.877402722,1.008392302
2-arachidonoylglycerophosphocholine,1.255523087,0.284064277,0.343414345,0.226251735,0.273522923,1.208931827
2-arachidonoylglycerophosphoethanolamine,1.214425395,0.493619841,0.61472624,0.406463702,0.506186912,1.245343458
2-docosahexaenoylglycerophosphocholine,1.399926669,0.410756455,0.428720766,0.293412837,0.306245159,1.043734701
2-docosahexaenoylglycerophosphoethanolamine,0.724503194,0.272948879,0.457083486,0.376739373,0.6308923,1.674612066
2-docosapentaenoylglycerophosphoethanolamine,1.196164358,0.383487053,0.489026363,0.320597291,0.408828736,1.275209577
2-hydroxyglutarate,0.854040641,0.766037113,0.466085386,0.896956277,0.54574146,0.608437082
2-hydroxypalmitate,1.087661201,1.301977206,1.358330226,1.19704298,1.248854169,1.043282648
2-hydroxystearate,1.024971547,1.08457975,1.366257407,1.058155959,1.332971058,1.259711337
2-linoleoylglycerophosphocholine,0.781042175,0.173214186,0.222367382,0.221773154,0.284705986,1.283771189
2-methylbutyroylcarnitine,0.779134538,0.60114851,0.842257893,0.771559315,1.081017273,1.401081228
2-myristoylglycerophosphocholine,1.734480134,0.605347256,0.229770956,0.349007893,0.132472521,0.379568841
2-oleoylglycerophosphocholine,0.889472872,0.211850307,0.149026595,0.238175119,0.167544846,0.703452344
2-oleoylglycerophosphoethanolamine,1.59563865,1.377025757,1.296876361,0.862993483,0.812763191,0.941795282
2-palmitoleoylglycerophosphocholine,1.490805903,0.343845224,0.172373377,0.230643857,0.115624292,0.501310955
2-palmitoleoylglycerophosphoethanolamine,1.550975353,0.660871825,0.281841067,0.426100791,0.181718599,0.426468578
2-palmitoylglycerophosphocholine,0.915527599,0.244997027,0.332151677,0.267602011,0.362798104,1.355737584
2-palmitoylglycerophosphoethanolamine,1.099270095,0.427771424,0.885936583,0.389141327,0.80593167,2.071051347
2-phosphoglycerate,2.083796006,1.537900098,0.538407021,0.738028144,0.258377989,0.350092325
2-stearoylglycerophosphocholine,1,0.457907507,0.635287851,0.457907507,0.635287851,1.387371559
3-(4-hydroxyphenyl)lactate,1.380335452,1.364081536,0.466048907,0.988224662,0.337634527,0.341657661
3-dehydrocarnitine,1.660389531,1.093723257,1.583404599,0.65871486,0.953634415,1.447719603
3-hydroxybutyrate,2.721872225,2.808849031,2.895246312,1.031954772,1.06369663,1.030758962
3-hydroxyisobutyrate,1,0.708938271,0.48790647,0.708938271,0.48790647,0.688221372
3-methyl-2-oxobutyrate,0.503532704,0.295961887,0.293367458,0.587770932,0.582618479,0.991233909
3-methyl-2-oxovalerate,0.589064698,0.445348688,0.387858633,0.756026782,0.658431297,0.870910016
3-phosphoglycerate,2.316205797,2.424324888,0.910718204,1.046679397,0.393193992,0.375658481
3-phosphoserine,0.590581079,0.3312635,0.193872997,0.56091113,0.328274988,0.585253119
4-acetamidobutanoate,2.500616946,2.362416226,2.938835561,0.944733351,1.175244199,1.243995672
4-hydroxybutyrate,0.74034124,0.534688574,0.359994601,0.722219087,0.486254961,0.673279023
4-methyl-2-oxopentanoate,0.505489126,0.328604828,0.315827545,0.65007299,0.624795923,0.961116571
5-methylthioadenosine,0.751891557,0.9750444,0.909426812,1.2967886,1.209518584,0.932702974
5-oxoproline,1.56690208,1.514461266,2.353414564,0.966532169,1.50195382,1.553961542
6'-sialyllactose,1.062832371,1.021839292,0.557070205,0.961430343,0.524137409,0.545164205
6-keto prostaglandin F1alpha,0.025366345,0.117995122,1,4.651640578,39.42231264,8.474926637
7-alpha-hydroxycholesterol,1.271673985,0.721800254,1.933859647,0.567598506,1.520719674,2.679217187
7-beta-hydroxycholesterol,1.585498637,1.071489363,2.724142726,0.675805918,1.718161506,2.54238896
7-ketocholesterol,0.655240678,0.44582582,0.743142997,0.680400095,1.13415272,1.666890888
acetylcarnitine,2.364410892,1.526294011,1.576616313,0.645528244,0.666811475,1.032970254
acetylphosphate,2.21484306,2.497003017,2.299353295,1.127395012,1.038156309,0.920845221
adenine,0.353877459,0.378092059,0.357106335,1.068426511,1.009124277,0.94449573
adenosine,1.23619089,0.873412488,1.499416809,0.706535289,1.212933068,1.716733879
"adenosine 3',5'-cyclic monophosphate",0.647882833,0.432188224,0.686973836,0.667077752,1.06033653,1.58952465
adenosine 3'-monophosphate,2.269695135,0.820437186,4.664154146,0.36147462,2.054969442,5.684961905
adenosine 5'-monophosphate,1.187787883,0.568883882,0.696309445,0.478944002,0.586223732,1.223992219
adrenate,1.619226545,1.343280697,1.051594612,0.829581692,0.649442547,0.782855448
agmatine,0.65244381,1.057945473,0.272936556,1.62151201,0.418329598,0.257987357
alanine,0.761777412,0.51467035,0.522105345,0.675617762,0.685377824,1.01444613
alanylglutamate,1.683497466,1.047739899,3.484086926,0.622359059,2.069552819,3.325335736
alanylisoleucine,1.746379405,2.039377668,4.412079979,1.16777469,2.526415489,2.163444293
alanylleucine,1.191286169,1.210606342,2.505334604,1.016217911,2.10305019,2.069487426
alanylphenylalanine,0.983958275,1.123558774,2.818127303,1.141876441,2.864071957,2.508215297
alanylvaline,1.415680036,1.406846485,3.39826629,0.993760207,2.400447986,2.415520333
allantoin,1.455578263,1.083666898,0.83824423,0.744492362,0.575883999,0.773525731
alpha-ketoglutarate,0.239805694,0.197639803,0.709491219,0.824166433,2.958608729,3.589819496
alpha-tocopherol,1.476290703,1.417362533,0.5112332,0.960083627,0.346295753,0.360693322
arachidonate,1.621691592,1.0393948,1.004484291,0.640932471,0.619405253,0.966412657
arginine,1.326676029,0.932144455,0.842895848,0.70261649,0.635344146,0.904254532
asparagine,0.661212292,0.489462581,0.493681643,0.740250274,0.746631073,1.008619786
aspartate,0.994287606,0.570696922,0.792123805,0.573975698,0.796674725,1.387993826
aspartylphenylalanine,2.360577208,0.916115964,3.348235546,0.388089812,1.418396964,3.654816287
behenate,1.207958171,0.636135834,0.349904274,0.526620747,0.289665886,0.550046476
benzoate,3.276732527,4.288073852,4.514968119,1.308643234,1.377887295,1.052912864
beta-alanine,1.888661632,1.314016178,0.799236951,0.69573933,0.423176358,0.60823981
beta-hydroxyisovalerate,1.229629762,1.045571126,1.073732938,0.850313776,0.873216452,1.026934382
betaine,1.856322289,2.050497501,3.01448398,1.104602101,1.623901193,1.470123216
butyrylcarnitine,1.146167695,0.916243059,0.769523797,0.799397037,0.671388489,0.839868623
C-glycosyltryptophan,0.778199867,0.875173573,3.416536851,1.124612853,4.390307676,3.903839142
caprate,2.206384188,2.302214407,2.151888242,1.043433152,0.97530079,0.934703664
caproate,2.151035581,1.731781926,2.496779684,0.80509218,1.160733791,1.441740237
caprylate,2.511977162,2.271186465,2.336097755,0.904142959,0.929983676,1.028580344
catechol sulfate,1.089713765,1.115924444,0.863879483,1.024052811,0.792758163,0.774137969
cholesterol,1.132085235,1.022024551,1.096454266,0.902780568,0.968526249,1.07282576
choline,2.434304168,2.698963053,3.295822958,1.108720549,1.353907618,1.221144156
choline phosphate,1.459815917,2.928271228,2.730153765,2.005918139,1.870204135,0.932343199
cis-vaccenate,2.753383817,2.514064568,1.598567781,0.913081769,0.58058298,0.635849931
citrate,3.483452849,1.626234278,2.019184523,0.466845497,0.57965031,1.241632003
creatine,1.938048159,2.145916047,2.093491351,1.107256307,1.080206052,0.975570016
creatinine,2.402356126,2.107058855,3.447065409,0.877080143,1.434868616,1.635960666
cystathionine,0.279213303,0.460078723,0.544928485,1.647767919,1.9516566,1.184424443
cysteine,0.950686443,0.727569556,0.21035014,0.7653097,0.221261323,0.289113444
cysteine sulfinic acid,0.648050332,0.331253954,0.916294492,0.511154671,1.413924887,2.76613903
cysteine-glutathione disulfide,12.92842189,14.89346928,2.679317728,1.151994374,0.207242442,0.179898832
cysteinylglycine,1.065461596,0.72221914,0.736913917,0.677846243,0.691638178,1.020346701
cytidine,1.622736709,2.987861985,4.87031727,1.841248779,3.001298512,1.630034217
cytidine 5'-diphosphocholine,0.579037626,0.480521454,3.193268965,0.829862227,5.514786646,6.645424344
deoxycarnitine,1.570869116,1.363971186,2.062292241,0.86829079,1.312835181,1.511976398
dihomo-linoleate,0.783801571,0.685058216,0.127806981,0.874019957,0.163060379,0.186563679
dihomo-linolenate,1.250032294,0.989420958,0.840037667,0.791516318,0.672012772,0.849019479
dihydrocholesterol,1.557974247,1.943182308,2.317570382,1.247249312,1.487553717,1.192667498
dihydroxyacetone phosphate,17.10116941,7.988189515,5.699469116,0.467113641,0.333279496,0.713486968
dimethylarginine,1.625593834,1.477264234,1.181235559,0.90875359,0.726648646,0.799610206
docosadienoate,0.565946386,0.651799205,0.114859677,1.151697796,0.202951515,0.176219418
docosahexaenoate,0.947985253,0.648308111,0.734041691,0.683879954,0.774317626,1.132242028
docosapentaenoate (n3 DPA; 22:5n3),1.37040338,0.759312088,0.685621758,0.554079258,0.500306528,0.902951195
docosapentaenoate (n6 DPA; 22:5n6),1.328708348,0.965315508,1.051934082,0.726506693,0.791696751,1.089730842
docosatrienoate,0.657106614,0.657317711,0.072937625,1.000321253,0.110998161,0.110962514
eicosapentaenoate,1.715291429,1.041015188,1.303124576,0.60690281,0.759710306,1.251782482
eicosenoate,0.763459276,0.690483328,0.114061878,0.904414093,0.149401391,0.165191357
erythritol,1.033141905,0.733217341,0.526720848,0.709696642,0.5098243,0.718369328
erythronate,1.245384121,0.750677935,0.610950086,0.602768192,0.490571604,0.813864452
ethanolamine,0.702563039,0.404177903,0.232420045,0.575290586,0.330817353,0.575043918
flavin adenine dinucleotide,1.309490155,1.020923457,0.892121061,0.779634313,0.681273592,0.873837362
flavin mononucleotide,1.69387567,2.235513171,2.00322809,1.319762253,1.182629945,0.896093173
folate,2.569554293,1.990279587,1.583260077,0.774562185,0.616161363,0.795496315
fructose,3.488390123,3.869576979,0.779255732,1.109273001,0.223385489,0.201380083
fumarate,0.560509928,0.551675305,0.341267225,0.984238239,0.608851348,0.618601598
gamma-aminobutyrate,0.255247303,0.301841123,0.761778246,1.182543829,2.984471282,2.523772235
gamma-glutamylcysteine,0.812594581,0.598730228,0.996678509,0.736812972,1.226538464,1.664653732
gamma-glutamylglutamate,1.817847142,1.2053798,0.762843335,0.663080944,0.419641079,0.632865538
gamma-glutamylglutamine,7.725195035,3.765903742,2.815704154,0.487483322,0.364483245,0.747683517
gamma-glutamylisoleucine,0.662853894,0.791462568,0.340781625,1.194022657,0.51411273,0.430572005
gamma-glutamylleucine,0.785943567,0.877686512,0.325521077,1.116729685,0.41417869,0.370885359
gamma-glutamylmethionine,3.808899804,2.172446884,0.731839232,0.570360733,0.192139271,0.336873245
gamma-glutamylphenylalanine,2.798054458,1.961158307,0.641393176,0.700900692,0.229228268,0.32704814
gamma-glutamylthreonine,0.53337178,0.816119025,0.846266873,1.530112868,1.58663601,1.036940505
gamma-glutamyltyrosine,1.815961799,1.063068204,0.280618005,0.585402294,0.154528584,0.263969897
gamma-glutamylvaline,0.920359866,1.13869587,0.789409054,1.23722895,0.857717816,0.69325715
glucose,3.448606716,5.670189812,0.482101415,1.644197289,0.139795997,0.085023858
glutamate,0.680539675,0.566954133,0.685311233,0.833094902,1.007011432,1.208759567
"glutamate, gamma-methyl ester",0.497125221,0.339128919,0.307610501,0.682180071,0.618778705,0.90706066
glutamine,1.185560339,0.941106133,1.184390483,0.793807031,0.999013246,1.258508941
"glutathione, oxidized",1.994652734,1.969549213,2.366487763,0.987414591,1.186415922,1.201537767
GSH,0.589335929,0.532145237,0.791872103,0.902957399,1.343668464,1.488075148
glycerate,2.725768416,1.84643018,1.079049308,0.677398039,0.395869767,0.584397569
glycerol 3-phosphate,4.505542847,2.462681638,0.560646986,0.546589328,0.124434947,0.227657111
glycerophosphoethanolamine,5.950669178,1.230613392,0.149038269,0.206802522,0.025045632,0.121108928
glycerophosphorylcholine,52.22327778,12.6193846,3.374327954,0.241642906,0.064613485,0.267392433
glycine,1.109855277,0.793108119,0.56999644,0.71460499,0.513577267,0.718686931
glycocholate,2.10001042,1.187340549,0.705814851,0.565397456,0.336100642,0.59445022
glycylglycine,0.620222434,0.503138082,0.459327542,0.811221998,0.74058518,0.912925415
glycylisoleucine,1.05637855,0.697418632,1.203873351,0.660197646,1.139623055,1.726184669
glycylleucine,1.003206994,0.586439646,1.792976399,0.58456495,1.787244716,3.057392882
glycylphenylalanine,1.740321756,0.897536306,2.842638642,0.515730096,1.633398326,3.167157277
glycylproline,1.751136661,1.049302942,1.472124742,0.59921248,0.840668107,1.402954936
glycylserine,0.795872398,0.569757972,0.720578725,0.715891107,0.905394793,1.264710211
glycyltyrosine,1.291848561,0.669734253,2.176752874,0.518430932,1.684990748,3.250174027
glycylvaline,1.329204687,0.850930618,2.434022776,0.640180272,1.831187326,2.860424486
guanine,0.730982663,1.007072172,1.020553753,1.377696385,1.396139478,1.013386907
guanosine,0.869526974,1.316579808,2.028082304,1.514133371,2.332397229,1.540417293
heptanoate,2.135531147,2.256243488,1.973923469,1.056525676,0.924324364,0.874871653
hippurate,1.96175459,1.577580125,1.153372241,0.804167928,0.587928912,0.731102163
histidine,1.46923574,1.439096773,1.629217222,0.979486636,1.108887551,1.132110955
homostachydrine,1.65298101,1.606432655,1.284221341,0.971839752,0.776912338,0.799424325
hydroquinone,1.875518931,1.311110924,0.984658143,0.699065684,0.525005707,0.751010555
hydroxyisovaleroyl carnitine,1.18112081,0.910428449,0.675230223,0.77081738,0.571685993,0.741662042
hypotaurine,0.952118633,0.701423167,2.248730174,0.736697238,2.36181721,3.205953664
hypoxanthine,0.728294884,0.710860081,0.495877427,0.976060792,0.680874516,0.697573882
inosine,1.050125436,1.232108556,2.210384333,1.173296555,2.104876482,1.793985053
inositol 1-phosphate,0.780648816,0.879360086,1.54092797,1.12644773,1.973906754,1.75232876
"Isobar: 2-propylpentanoic acid, 2-ethylhexanoic acid",2.886247586,2.910927544,2.72138535,1.00855088,0.942880078,0.93488598
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate",23.59662906,21.57636028,5.822067194,0.914383161,0.246733005,0.269835464
"Isobar: ribulose 5-phosphate, xylulose 5-phosphate",2.747740314,1.555375754,0.625485596,0.566056314,0.227636357,0.402144365
isobutyrylcarnitine,1.060385563,0.809280797,1.284952409,0.763194846,1.211778484,1.58777079
isoleucine,1.488432067,1.462026512,1.535013599,0.982259482,1.031295706,1.049921863
isovalerate,1.453810101,1.386044104,0.9730163,0.953387312,0.669287068,0.702009623
isovalerylcarnitine,0.468674551,0.32252949,0.848503826,0.688173678,1.810432898,2.630779054
kynurenine,1.792924254,1.766748085,1.248966104,0.985400293,0.696608404,0.706929366
lactate,0.88315951,0.844325753,1.094968981,0.956028604,1.239831501,1.296856073
laurate,2.192798032,2.230157007,2.3441588,1.017037125,1.069026315,1.051118281
leucine,1.477903759,1.258282673,1.36809167,0.851396896,0.925697402,1.087268942
leucylleucine,1.613316669,0.948897821,1.758494774,0.588165882,1.089987358,1.853197187
leucylproline,1.224168383,0.491039453,1.31658561,0.401120842,1.075493885,2.681221648
lignocerate,1.948828614,1.424358722,0.297612398,0.730879418,0.152713479,0.208944835
linoleate,1.457268706,1.365837263,0.48133695,0.93725835,0.330300752,0.35241164
linolenate,1.331916255,1.207739217,0.431389452,0.906768133,0.323886318,0.357187584
lysine,2.23562699,2.369959109,2.924320583,1.060087,1.308053891,1.233911831
malate,0.589762311,0.692509787,0.558654124,1.17421845,0.94725301,0.806709356
margarate,1.911628529,1.796315033,1.503248519,0.939677875,0.786370624,0.836851271
mead acid,0.810599008,0.708000573,0.142660246,0.873428866,0.175993611,0.20149736
methionine,1.305732845,1.014840002,1.10070363,0.777218713,0.842977669,1.084608044
methyl palmitate,2.468606442,2.896730495,2.537098395,1.173427423,1.02774519,0.875848961
methylphosphate,2.331553491,2.189172294,2.156904516,0.938932906,0.925093301,0.985260284
myo-inositol,0.429762861,0.400203741,0.412267637,0.931219928,0.95929098,1.030144386
myristate,2.369799719,2.574783563,1.564363789,1.086498383,0.660124894,0.607570986
myristoleate,1.802114674,1.960916292,1.216223862,1.088119597,0.674887053,0.620232422
N-acetylalanine,0.821329765,0.710889393,0.572611608,0.865534676,0.697176252,0.805486217
N-acetylaspartate,4.18284976,1.340994583,0.187685249,0.320593533,0.044870187,0.139959737
N-acetylgalactosamine,4.27211728,4.318554511,0.826693422,1.01086984,0.193509065,0.191428271
N-acetylglucosamine 6-phosphate,1.577293774,1.688353399,1.391747711,1.070411503,0.882364297,0.82432251
N-acetylmethionine,0.856629731,0.640974825,0.498372985,0.748251901,0.581783432,0.777523493
N-acetylneuraminate,0.538280205,0.539819184,0.178006436,1.002859066,0.330694747,0.329751964
N-acetylphenylalanine,2.148929392,1.004776824,1.772458764,0.467570888,0.824810145,1.764032293
N-acetylserine,1.33022403,0.866750521,0.528321461,0.651582366,0.397167281,0.60954271
