Metabolite,Cancer vs Control
,ratio
1-linoleoylglycerophosphocholine,0.1989
1-palmitoylglycerol,0.2313
1-palmitoylglycerophosphocholine,0.2441
1-palmitoylglycerophosphoinositol,0.209
2-docosahexaenoylglycerophosphoethanolamine,0.2506
2-hydroxyglutarate,3.0797
5-oxoproline,0.3856
6-phosphogluconate,12.7829
acetylcarnitine,3.2016
acetylphosphate,0.4573
adenosine 5-monophosphate,0.1864
asparagine,0.2161
aspartate,0.4494
butyrylcarnitine,19.2149
C-glycosyltryptophan,6.0091
chiro-inositol,0.2684
cholesterol,0.5431
choline,0.3554
cis-aconitate,4.1682
citrate,21.0513
citrulline,1.9516
cysteine,2.245
cysteine-glutathione disulfide,232.433
dihydrocholesterol,0.0797
docosahexaenoate,0.3177
eicosapentaenoate,0.3486
ethanolamine,0.066
flavin adenine dinucleotide,0.0977
fructose 6-phosphate,39.0824
fucose,0.2304
gamma-aminobutyrate,0.0226
gamma-glutamylalanine,15.58
gamma-glutamylglutamate,40.0851
gamma-glutamylglutamine,18.3218
gamma-glutamylphenylalanine,3.4806
glucose,0.3922
glucose 6-phosphate,85.1556
glucuronate,0.0161
glutaroyl carnitine,0.0712
glycerate,0.0123
glycerophosphorylcholine,35.7251
glycylproline,0.3723
gulono-14-lactone,0.0731
histidine,0.428
hydroxyisovaleroyl carnitine,0.2472
hypoxanthine,0.4733
Isobar: fructose 16-diphosphate glucose 16-diphosphate,117.3951
Isobar: ribulose 5-phosphate xylulose 5-phosphate,22.6092
isoleucine,0.5368
isovalerylcarnitine,15.0479
lactate,2.8516
lysine,0.4989
malonylcarnitine,0.2143
maltotetraose,101.0793
mannose,0.11
methylphosphate,0.2774
myo-inositol,0.2028
N-acetylaspartate,5.9765
N-acetylglucosamine 6-phosphate,5.832
N-acetylglycine,0.2184
N-acetylmethionine,7.4821
N-acetylthreonine,0.4518
N-glycolylneuraminate,8.1678
nicotinamide adenine dinucleotide,0.1327
palmitoyl sphingomyelin,0.3235
pantothenate,0.3144
phosphate,0.5145
phosphoethanolamine,5.4491
pipecolate,2.8727
putrescine,6.7631
ribitol,0.0517
riboflavin,0.0751
ribose,0.0845
scyllo-inositol,0.0924
spermidine,2.2011
succinate,0.2531
thiamin,0.1679
thymine,4.6871
tyrosine,0.5366
uridine,2.461
xylitol,0.1046
xylulose,0.1173
1-palmitoylglycerophosphoethanolamine,0.2374
1-stearoylglycerophosphocholine,0.1597
2-docosahexaenoylglycerophosphocholine,0.1387
2-methylbutyroylcarnitine,4.4563
5-aminovalerate,0.2097
arginine,0.491
butyrylglycine,0.096
