Metabolite,Cancer vs Control
,ratio
1-methylhistidine,2.015
1-methylimidazoleacetate,0.997
1-palmitoylglycerophosphocholine,0.623
2-(4-hydroxyphenyl)propionate,0.756
23-dihydroxyisovalerate,1.53
2-amino-p-cresol sulfate,0.848
2-hydroxyadipate,0.939
2-hydroxyglutarate,0.919
2-hydroxyhippurate,0.825
2-hydroxyisobutyrate,1.158
2-hydroxyphenylacetate,0.661
2-isopropylmalate,0.842
2-ketogulonate,0.578
2-methylbutyrylglycine,0.724
2-methylcitrate,0.872
2-O-methylguanosine,0.799
2-oxoadipate,1.534
3-(4-hydroxyphenyl)lactate,1.038
34-dihydroxyphenylacetate,0.671
35-dihydroxybenzoic acid,0.897
3-aminoisobutyrate,1.027
3-dehydrocarnitine,1.035
3-hexenedioate,0.922
3-hydroxy-3-methylglutarate,1.279
3-hydroxyisobutyrate,1.179
3-hydroxyphenylacetate,0.778
3-hydroxypyridine,0.81
3-indoxyl sulfate,0.642
3-methyl-2-oxobutyrate,1.048
3-methyl-2-oxovalerate,0.984
3-methylcrotonylglycine,0.925
3-methylcytidine,1.125
3-methylglutaconate,0.725
3-methylhistidine,1.367
3-phosphoglycerate,1.654
3-ureidopropionate,1.165
4-acetamidobutanoate,1.003
4-acetylphenol sulfate,0.782
4-ethylphenylsulfate,1.276
4-guanidinobutanoate,0.844
4-hydroxybenzoate,1.128
4-hydroxyhippurate,0.931
4-hydroxymandelate,0.895
4-hydroxyphenylacetate,0.87
4-hydroxyphenylpyruvate,1.629
4-imidazoleacetate,0.74
4-methyl-2-oxopentanoate,1.16
4-ureidobutyrate,0.769
4-vinylphenol sulfate,1.084
56-dihydrouracil,1.038
5-aminovalerate,0.659
5-hydroxyhexanoate,0.935
5-hydroxyindoleacetate,1.06
5-methylcytidine,0.932
5-methyltetrahydrofolate,0.571
5-methylthioadenosine,1.018
5-oxoproline,0.86
6-hydroxynicotinate,0.705
7-methylguanine,1.019
7-methylguanosine,0.519
acetylcarnitine,1.038
acetylphosphate,1.003
adenine,0.929
adenosine,0.809
adenosine 35-cyclic monophosphate,0.89
agmatine,0.293
alanine,0.931
alanylalanine,1.406
alanylglycine,1.081
allantoin,1.193
allo-threonine,0.839
alpha-hydroxyisovalerate,2.177
alpha-ketoglutarate,1.25
anthranilate,0.856
arabinose,0.761
arabitol,0.933
arabonate,0.775
ascorbate,0.914
azelate,1.299
beta-alanine,0.873
beta-hydroxypyruvate,0.81
betaine,0.785
biopterin,0.816
butyrylglycine,0.948
cadaverine,0.34
