BIOCHEMICAL.NAME,A2780 vs C200
,Ratio
"glutathione, oxidized",0.818212254
cystathionine,1.220188999
nicotinamide adenine dinucleotide,0.874986826
docosadienoate,1.290566172
dihomo-linoleate,1.231020504
eicosenoate,1.230244879
uridine monophosphate,0.914880056
5-methylthioadenosine,1.078058067
xylonate,0.406807178
GSH,0.82297767
ornithine,0.874483259
cysteinylglycine,0.730802391
glucose 6-phosphate,2.96327588
10-nonadecenoate,1.232647946
S-adenosylhomocysteine,0.894816112
fructose,2.707718072
citrate,0.880491164
erythronate,0.843432646
5-oxoproline,1.09009107
malate,1.111959594
cytidine,0.457380083
palmitate,1.059914735
erucate,1.201042089
glycerol 3-phosphate,0.905000518
gamma-glutamylglutamine,1.212333471
cysteine sulfinic acid,2.132187398
stearate,1.061511261
adenylosuccinate,0.579236211
2-palmitoylglycerol,1.08413837
putrescine,0.781769686
3-(4-hydroxyphenyl)lactate,0.862188612
dihomo-linolenate,1.152998915
ribitol,0.895705058
gamma-glutamylglutamate,1.136675857
arginine,1.138464801
margarate,1.075753875
linoleate,1.082625662
glycerol,1.098511212
phenol red,1.088048266
"Isobar: UDP-acetylglucosamine, UDP-acetylgalactosamine",1.136678548
fructose 6-phosphate,2.533204668
myristate,1.050003008
2-hydroxyglutarate,1.180842484
mead acid,0.885727168
laurate,1.043118416
N-acetylglutamate,0.913034974
arabonate,0.458610203
N-acetylaspartate,0.959416387
sorbitol,1.196295736
succinate,0.937573734
10-heptadecenoate,1.083928339
palmitoleate,1.070162632
oleate,1.053387026
argininosuccinate,1.913142754
N-formylmethionine,0.839518687
N-acetyl-aspartyl-glutamate,1.05950882
1-methylnicotinamide,0.515709896
glycerol 2-phosphate,0.880122564
N-acetylserine,0.945234411
uridine 5'-triphosphate,1.490851245
docosapentaenoate,1.106207074
2-linoleoylglycerophosphocholine,1.3328839
adenosine,0.889998769
2-oleoylglycerophosphoinositol,0.627920485
spermine,2.340072351
stearoyl sphingomyelin,1.156572624
palmitoylcarnitine,1.138187583
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",1.79748934
nicotinamide,1.091870942
uridine 5'-diphosphate,1.165736155
xanthine,0.563255857
4-guanidinobutanoate,1.089564752
glutamine,1.064482033
cysteine-glutathione disulfide,1.221337753
adenosine 5'-monophosphate,0.932976906
kynurenine,1.15288191
1-arachidonoylglycerophosphoinositol,0.553079919
stearoylcarnitine,1.180955162
3'-dephosphocoenzyme A,0.664867203
cystine,2.310728852
17-methylstearate,1.108634685
spermidine,1.069264613
adenosine 5'-diphosphate,1.10697717
N-acetylthreonine,0.947454192
trans-4-hydroxyproline,0.97260344
dihydroxyacetone phosphate,2.281053276
nonadecanoate,1.078259539
"Isobar: ribulose 5-phosphate, xylulose 5-phosphate",0.884461387
docosapentaenoate,0.899078641
methionine,1.051652521
caprate,1.100516637
deoxycarnitine,1.062122697
N-acetylneuraminate,1.055245919
UDP-glucuronate,1.054894688
arabitol,0.87279557
adenosine 3'-monophosphate,1.101090891
2-aminopentanoate,0.945083464
linolenate,0.931658824
erythritol,0.955478079
cis-vaccenate,1.046896572
butyrylcarnitine,0.914256872
inositol 1-phosphate,1.05542125
palmitoyl sphingomyelin,1.02670948
phosphoethanolamine,0.82872811
propionylcarnitine,0.916659364
2-oleoylglycerophosphocholine,1.168238148
choline phosphate,0.967522703
alanine,0.969057292
alanylleucine,1.64064535
1-docosahexaenoylglycerophosphocholine,1.760451616
N6-methyladenosine,0.562980308
hypotaurine,1.049232061
2-docosahexaenoylglycerophosphoethanolamine,0.884992359
valylglycine,1.146883413
scyllo-inositol,0.938487397
ethanolamine,0.893499051
betaine,1.049822176
2-aminobutyrate,0.926378642
pyrophosphate,1.095484254
coenzyme A,0.941226149
thiamin,1.0694179
sphingosine,1.119966514
leucylglutamate,1.529790455
thymidine 5'-monophosphate,0.61655379
ribose,0.905699762
gamma-aminobutyrate,0.872498593
hydroxyisovaleroyl carnitine,0.895928776
eicosapentaenoate,1.036582551
urea,1.021334216
pyroglutamine,1.089540871
lactose,1.124894401
taurine,1.089256823
2-hydroxypalmitate,1.084744676
5-methyltetrahydrofolate,1.050242707
arachidonate,1.03863992
3-dehydrocarnitine,1.051289616
2-palmitoleoylglycerophosphocholine,1.084726643
fumarate,0.970092011
glycerophosphorylcholine,0.96695759
oleoylcarnitine,1.064323696
glycylleucine,1.10210226
