Compound name,H1975-AZD9291  vs  H1975-DMSO,H1975-PF05  vs  H1975-DMSO,PC9-PF05  vs  PC9-DMSO,"HCC827-PF05
  vs  HCC827-DMSO"
,Ratio,Ratio,Ratio,Ratio
NAD+,1,0.8,1,0.9
cAMP,0.7,0.9,0.7,0.9
cGMP,N.A.,N.A.,N.A.,N.A.
NADH,0.5,0.4,0.7,0.8
Xanthine,0.8,0.7,0.9,0.9
ADP-ribose,0.7,0.7,0.9,1
Mevalonic acid,N.A.,N.A.,N.A.,N.A.
UDP-glucose,1,1,0.9,0.8
Uric acid,0.9,0.7,0.8,0.8
NADP+,0.5,0.6,0.8,0.8
IMP,1.6,0.8,0.9,1.2
Sedoheptulose 7-phosphate,N.A.,N.A.,N.A.,N.A.
Glucose 6-phosphate,0.3,0.4,0.8,0.9
Fructose 6-phosphate,0.11,4,0.7,0.7
Fructose 1-phosphate,N.A.,<1,0.5,<1
Galactose 1-phosphate,0.7,0.9,1.1,0.9
Glucose 1-phosphate,0.02,0.3,1.2,0.6
Acetoacetyl CoA,N.A.,N.A.,N.A.,N.A.
Acetyl CoA,0.5,N.A.,N.A.,0.3
Folic acid,0.9,0.8,0.9,0.9
Ribose 5-phosphate,0.2,0.2,0.5,0.6
CoA,0.9,0.7,0.7,0.8
Ribose 1-phosphate,0.5,N.A.,N.A.,0.3
Ribulose 5-phosphate,0.2,0.4,0.7,0.6
Xylulose 5-phosphate,<1,<1,0.1,0.6
Erythrose 4-phosphate,0.3,N.A.,N.A.,0.6
HMG CoA,0.8,0.6,0.9,0.7
Glyceraldehyde 3-phosphate,0.09,0.2,1.2,0.6
NADPH,1.7,0.7,0.9,1
Malonyl CoA,0.4,N.A.,N.A.,0.3
Phosphocreatine,0.9,0.8,0.8,0.8
XMP,0.9,0.7,1,0.6
Dihydroxyacetone phosphate,0.2,0.2,0.6,0.9
Adenylosuccinic acid,1.2,0.7,1,1.2
"Fructose 1,6-diphosphate",0.3,0.3,0.4,1
6-Phosphogluconic acid,0.1,0.14,0.5,0.6
N-Carbamoylaspartic acid,0.4,0.07,0.2,0.3
PRPP,0.6,0.2,0.7,0.5
2-Phosphoglyceric acid,1.3,0.5,0.8,0.6
"2,3-Diphosphoglyceric acid",0.2,0.3,0.7,0.7
3-Phosphoglyceric acid,1.2,0.5,0.8,0.6
Phosphoenolpyruvic acid,1.5,0.4,0.6,0.5
GMP,1.3,0.9,1,1.2
AMP,1.2,0.8,0.9,1.1
