,"116H1% vs 
116N 21%","116A 0% vs 
116N 21%","DN2N 21% vs 
116N 21%","DN2H 1% vs 
116N 21%",DN2A 0% vs 116N 21%,116H 1%116A 0%,116H 1% vs DN2N 21%,116H 1% vs DN2H 1%,116H 1 % vs DN2A 0%,116A 0% vs DN2N 21%,116A 0% vs DN2H 1%,116A 0% vs DN2A 0%,DN2H 1% vs DN2N 21%,DN2A 0% vs DN2N 21%,DN2H 1% vs DN2A 0%
Metabolite,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
Glycine,1.018053055,1.011590106,0.967968556,0.978077865,1.035042615,1.006388901,1.051741866,1.040871173,0.983585641,1.045065049,1.034263367,0.977341504,1.01044384,1.069293635,0.94496386
Lactate,1.668050148,1.790562943,1.121721768,1.610155182,1.919480695,0.931578616,1.487044466,1.03595614,0.869011161,1.59626299,1.112043711,0.932837172,1.435431876,1.711191447,0.838849375
Pyruvate,1.21170263,1.155119019,0.778216204,0.938327065,1.197183112,1.048985091,1.5570257,1.291343579,1.012128068,1.484316329,1.231040927,0.964864111,1.205740847,1.538368266,0.783779069
Leucine,1.745923883,2.01065359,1.155154921,1.741081976,2.522537409,0.868336491,1.511419682,1.002780976,0.692130026,1.740592153,1.154829938,0.797075827,1.507228117,2.183722169,0.690210567
Glycerol,1.817117247,2.913362272,0.855750959,1.386632756,2.96929728,0.62371826,2.123418299,1.310453138,0.611968784,3.404451074,2.101033788,0.981162207,1.620369502,3.469814726,0.466990209
Norleucine,1.365027865,1.637054358,0.999162839,1.328761469,2.037922374,0.833831729,1.36617157,1.027293383,0.669813474,1.638425984,1.232015223,0.803295738,1.329874788,2.039629872,0.652017705
Malonate,1.043728219,1.063359145,1.010259808,1.022796196,1.070554738,0.981538762,1.033128518,1.020465488,0.974941478,1.052560081,1.039658878,0.993278632,1.012409073,1.059682598,0.955388977
Phosphate,0.990496273,1.174263644,1.010603546,0.962826715,1.151603103,0.843504163,0.980103698,1.028737837,0.860102122,1.161942929,1.219600189,1.019677388,0.952724458,1.139520149,0.836075131
Threonine,1.127761777,1.534215783,0.975147139,1.011898197,1.557637818,0.735073768,1.156504215,1.114501222,0.724020542,1.573317217,1.516176023,0.984963106,1.037687705,1.597336192,0.649636382
Beta-alanine,0.654509425,0.924937896,1.255697252,0.706371478,0.686070686,0.707625266,0.521231869,0.926579633,0.953997071,0.736593072,1.309421353,1.348167054,0.562533267,0.54636632,1.029589942
Erythronate vs Threonate,1.248182323,1.634426932,1.069518664,1.003271733,1.553184058,0.763681936,1.16705053,1.244111922,0.80362808,1.528189256,1.629096962,1.052307306,0.938059116,1.452227166,0.645945165
Malate,0.612220626,1.253705886,1.414794287,0.662062588,1.064582546,0.488328749,0.432727664,0.924717146,0.575080466,0.886140054,1.893636507,1.177650236,0.467956786,0.752464549,0.621898781
4-aminobutyrate,0.674131419,0.60966528,1.097819071,0.776210104,0.520764357,1.105740217,0.614064227,0.868490909,1.294503761,0.55534222,0.785438475,1.17071238,0.707047386,0.474362644,1.490520795
Aspartate,0.954917825,1.221830959,0.784220633,0.832463562,1.196452932,0.781546595,1.217664755,1.147098646,0.798124021,1.558019398,1.467729057,1.021211053,1.061517035,1.525658573,0.695776273
4-hydroxyproline,0.594165467,0.57357469,0.891367922,0.648168,0.659663175,1.035899033,0.666577124,0.916684357,0.900710377,0.643476925,0.884916703,0.8694963,0.727161012,0.740057117,0.982574176
xylitol vs Ribitol,1.852638217,2.652877151,0.995507306,1.32421371,2.524894377,0.69835055,1.860999115,1.399047753,0.733748799,2.664849503,2.003360281,1.050688367,1.330189846,2.536289147,0.524463012
Cysteine,3.007262336,4.292562635,0.71551747,2.145780551,4.697240725,0.700575062,4.202919514,1.401477115,0.64021891,5.999242251,2.000466746,0.913847701,2.998921259,6.564816268,0.456817242
2-hydroxyglutarate,1.87144192,8.739162941,0.986494105,1.452038362,6.677182078,0.214144299,1.897063459,1.288837795,0.280274208,8.858809084,6.01854825,1.30881004,1.47191793,6.768598051,0.217462748
