,carcinoma vs adjacent normal tissue
Metabolite name,Ratio
2-Hydroxybehenic acid,4.38
Cerebronic acid,3.49
Tricosanoic acid,2.53
Cystine,2.42
Nicotineamide adenine dinucleotide,2.16
Glycerophosphoethanolamine,2.07
Uridine,1.82
alpha-Tocopherol,1.76
Myristic acid,1.72
Eicosenoic acid,1.66
Hypoxanthine,1.65
Eicosadienoic acid,1.64
Dihydrocholesterol,1.61
Xanthine,1.59
Spermidine,1.59
Biotin,1.58
Glycerol-3-phosphate,1.58
Palmitoleic acid,1.58
Isopentenyl pyrophosphate,1.57
myo-Inositol-1-phosphate,1.57
myo-Inositol-2-phosphate,1.56
7-Methylguanine,1.54
Pentadecanol,1.54
beta-Carotene,1.53
Fructose,1.52
Cysteine,1.51
2-Aminoadipic acid,1.5
Glycerol-2-phosphate,1.49
Heptadecanoic acid,1.48
Eicosanoic acid,1.48
erythro-Dihydrosphingosine,1.47
Aspartate,1.45
N-Acetylneuraminic acid,1.43
4-Hydroxysphinganine,1.43
gamma-Tocopherol,1.42
Glycerol,1.39
Cholestenol,1.39
Behenic acid,1.39
Oleic acid,1.38
Proline,1.37
Glucose,1.37
Ribose,1.36
Ornithine,1.36
Histidine,1.36
14-Methylhexadecanoic acid,1.36
S-Adenosylmethionine,1.35
Elaidic acid,1.35
Glycine,1.34
Docosapentaenoic acid,1.34
Linoleic acid,1.33
Palmitic acid,1.33
Uracil,1.32
Hypoxanthine,1.32
Xylitol,1.32
Methionine,1.31
Eicosapentaenoic acid,1.31
trans-4-Hydroxyproline,1.3
Fumarate,1.3
N-Acetylneuraminic acid,1.3
Isoleucine,1.29
Pantothenic acid,1.29
Malate,1.29
Sphingosine,1.29
Sphingomyelin,1.28
Docosahexaenoic acid,1.28
Lignoceric acid,1.28
3-O-Methylsphingosine,1.28
erythro-Sphingosine-1-phosphate,1.28
Leucine,1.27
Phenylalanine,1.27
Threonine,1.27
Lysine,1.27
Flavine adenine dinucleotide,1.27
threo-Sphingosine,1.27
Glutamate,1.26
Tyrosine,1.26
Glutamine,1.26
5-O-Methylsphingosine,1.26
Citrulline,1.25
Glycerol phosphate,1.25
dihomo-gamma-Linolenic acid,1.25
erythro-Sphingosine,1.24
Phosphate,1.23
Succinate,1.23
Stearic acid,1.23
myo-Inositol,1.22
5-Oxoproline,1.21
Tryptophan,1.21
Lysophosphatidylcholine,1.21
Hypotaurine,1.21
Ribulose-5-phosphate,1.21
Homoserine,1.2
Nervonic acid,1.2
Serine,1.2
Valine,1.19
Guanosine,1.19
Arginine,1.19
erythro-Dihydrosphingosine,1.19
Alanine,1.18
Adenine,1.18
Threonic acid,1.17
Pyrophosphate,1.17
Cytosine,1.16
Pseudouridine,1.16
Phosphate,1.15
Sarcosine,1.15
Adenine,1.14
Glycerol,1.13
Nicotinamide,1.13
Cholesterol,1.13
Glutathione,1.13
DAG,1.13
Pyruvate,1.12
Serine,1.12
Coenzyme Q10,1.1
Lysophosphatidylcholine,1.08
Arachidonic acid,1.07
Dodecanol,1.07
Ceramide,1.06
2-Hydroxybutyrate,1.05
Phosphatidylcholine,0.96
Creatine,0.93
myo-Inositol,0.91
Phosphatidylcholine,0.89
Phosphatidylcholine,0.86
Glutathione disulfide,0.85
Glucuronic acid,0.72
cis-Aconitate,0.71
Putrescine,0.71
Glucose,0.7
Gluconic acid,0.69
Spermine,0.69
Maltose,0.65
Maltotriose,0.6
