Biochemical,HCT116,MCF7
,Ratio,Ratio
N1-methyladenosine,3.499661934,3.543960593
2-arachidonoylglycerophosphoinositol,4.769831213,1.568081302
1-arachidonoylglycerophosphoinositol,4.346929902,1.691718684
2-oleoylglycerophosphoinositol,3.54014264,1.716286025
2-oleoylglycerophosphoserine,3.703165302,1.555011356
1-oleoylglycerophosphoserine,3.283103577,1.650969044
1-oleoylglycerophosphoinositol,2.877657489,1.77705763
isovalerylcarnitine,3.731253817,1.351323573
1-palmitoleoylglycerophosphoinositol,2.702793029,1.679365274
1-palmitoleoylglycerophosphoethanolamine,2.553042723,1.761429375
2-palmitoleoylglycerophosphoinositol,3.155519944,1.411895656
1-stearoylglycerophosphoinositol,2.950073421,1.501631454
2-oleoylglycerophosphoethanolamine,2.062167321,1.943336673
1-linoleoylglycerophosphoinositol,2.840173639,1.331067848
1-palmitoylglycerophosphoinositol,2.009788245,1.852653331
1-oleoylglycerophosphoethanolamine,2.007226379,1.789834097
2'-deoxyinosine,3.381619965,1.042432513
4-methyl-2-oxopentanoate,1.452098447,2.40113813
1-arachidonoylglycerophosphoethanolamine,1.736667551,1.908161575
2-palmitoylglycerophosphoethanolamine,1.919786235,1.660930278
ophthalmate,2.314875034,1.348204893
3-methyl-2-oxovalerate,1.465711973,2.022511395
adenosine 3'-monophosphate,1.371839658,2.155750197
3-phosphoserine,1.302656429,2.237486939
N1-methylguanosine,1.732664305,1.676054809
oleic ethanolamide,1.607555476,1.801659163
taurocholate,2.840100665,1.006340494
2-hydroxypalmitate,2.386281819,1.185329376
1-palmitoylglycerophosphoethanolamine,1.631913704,1.674714718
nicotinamide adenine dinucleotide phosphate,1.626993192,1.579905781
biopterin,2.271894302,1.058594581
pseudouridine,1.43202202,1.601644316
adrenate,1.319609857,1.662362602
acetyl CoA,1.570745866,1.325581118
stearoyl sphingomyelin,2.032586125,1.017641306
gamma-glutamylvaline,1.349662206,1.529922079
N6-carbamoylthreonyladenosine,1.958140722,1.030321261
folate,1.398700084,1.433884933
gamma-glutamylisoleucine,1.549411623,1.289406802
1-palmitoylplasmenylethanolamine,1.887210837,1.051369526
phenol sulfate,1.235864587,1.519941884
1-stearoylglycerophosphocholine,1.016017034,1.818441478
palmitoyl ethanolamide,1.361187041,1.355735875
gamma-glutamylleucine,1.438518713,1.277362736
