,tumor/normal_tissue
Metabolite ,Ratio
2-hydroxyglutarate,3.3
3-methyl-2-oxovalerate,0.41
2-phosphoglycerate,0.37
4-methyl-2-oxopentanoate,0.49
3-ureidopropionate,1.5
5-methyltetrahydrofolate (5MeTHF),0.48
acetylcholine,2.3
allantoin,0.61
beta-alanine,3
betaine,0.5
citrate,13
hippurate,0.09
2-aminoadipate,3.5
4-guanidinobutanoate,0.71
malate,0.25
creatine,2
creatinine,0.4
cystine,2.2
glutamate,1.4
lactate,1.3
sedoheptulose-7-phosphate,3.5
"5,6-dihydrouracil",3.9
ethanolamine,0.31
3-phosphoglycerate,0.38
deoxycarnitine,1.4
glycerate,0.78
glycerol,1.4
guanosine 5'- monophosphate (5'-GMP),5
guanidinoacetate,0.16
histidine,0.48
homocysteine,0.72
hypoxanthine,0.71
isoleucine,0.58
citrulline,0.53
myo-inositol,0.31
nicotinamide,0.71
1-palmitoylglycerophosphoinositol*,0.22
palmitate (16:0),1.3
phosphoenolpyruvate (PEP),0.27
putrescine,7.1
phosphate,0.75
citramalate,0.42
spermidine,1.5
succinate,18
taurine,0.95
C-glycosyltryptophan*,0.88
uracil,0.75
urea,0.37
xanthine,0.7
2'-deoxyadenosine 3'-monophosphate,2.4
5-oxoETE,0.06
alanylphenylalanine,2.7
tyrosylarginine,2.6
caprate (10:0),0.85
sphinganine,1.9
guanosine 3'-monophosphate (3'-GMP),0.15
heme,2.6
N-acetyl-aspartyl-glutamate (NAAG),0.09
stearate (18:0),1.6
thymidine 3'-monophosphate,2.3
trigonelline (N'-methylnicotinate),0.53
trans-4-hydroxyproline,0.53
alanine,0.59
serine,0.48
aspartate,0.4
glutamine,1.6
lysine,0.67
fructose,8.4
uridine monophosphate (5' or 3'),1.3
tyrosine,0.58
andro steroid monosulfate 2*,0.34
cytidine,0.83
ornithine,0.4
asparagine,0.48
pantothenate,0.2
dihydrocholesterol,0.75
pyridoxate,0.51
xylitol,0.55
5-oxoproline,0.68
behenate (22:0),1.9
erucate (22:1n9),4.4
3-(4-hydroxyphenyl)lactate,3.9
margarate (17:0),1.7
