,TT2609C02_THYROID.BCPAP_THYROID,ML1_THYROID.BCPAP_THYROID,BCPAP_THYROID.BHT101_THYROID,TT2609C02_THYROID.BHT101_THYROID,ML1_THYROID.BHT101_THYROID,BHT101_THYROID.CAL62_THYROID,BCPAP_THYROID.CAL62_THYROID,TT2609C02_THYROID.CAL62_THYROID,ML1_THYROID.CAL62_THYROID,FTC238_THYROID.CGTHW1_THYROID,FTC133_THYROID.CGTHW1_THYROID,SW579_THYROID.CGTHW1_THYROID,TT_THYROID.CGTHW1_THYROID,X8305C_THYROID.CGTHW1_THYROID,X8505C_THYROID.CGTHW1_THYROID,CAL62_THYROID.CGTHW1_THYROID,BHT101_THYROID.CGTHW1_THYROID,BCPAP_THYROID.CGTHW1_THYROID,TT2609C02_THYROID.CGTHW1_THYROID,ML1_THYROID.CGTHW1_THYROID,SW579_THYROID.FTC133_THYROID,TT_THYROID.FTC133_THYROID,X8305C_THYROID.FTC133_THYROID,X8505C_THYROID.FTC133_THYROID,CAL62_THYROID.FTC133_THYROID,BHT101_THYROID.FTC133_THYROID,BCPAP_THYROID.FTC133_THYROID,TT2609C02_THYROID.FTC133_THYROID,ML1_THYROID.FTC133_THYROID,FTC133_THYROID.FTC238_THYROID,SW579_THYROID.FTC238_THYROID,TT_THYROID.FTC238_THYROID,X8305C_THYROID.FTC238_THYROID,X8505C_THYROID.FTC238_THYROID,CAL62_THYROID.FTC238_THYROID,BHT101_THYROID.FTC238_THYROID,BCPAP_THYROID.FTC238_THYROID,TT2609C02_THYROID.FTC238_THYROID,ML1_THYROID.FTC238_THYROID,TT_THYROID.SW579_THYROID,X8305C_THYROID.SW579_THYROID,X8505C_THYROID.SW579_THYROID,CAL62_THYROID.SW579_THYROID,BHT101_THYROID.SW579_THYROID,BCPAP_THYROID.SW579_THYROID,TT2609C02_THYROID.SW579_THYROID,ML1_THYROID.SW579_THYROID,X8305C_THYROID.TT_THYROID,X8505C_THYROID.TT_THYROID,CAL62_THYROID.TT_THYROID,BHT101_THYROID.TT_THYROID,BCPAP_THYROID.TT_THYROID,TT2609C02_THYROID.TT_THYROID,ML1_THYROID.TT_THYROID,ML1_THYROID.TT2609C02_THYROID,X8505C_THYROID.X8305C_THYROID,CAL62_THYROID.X8305C_THYROID,BHT101_THYROID.X8305C_THYROID,BCPAP_THYROID.X8305C_THYROID,TT2609C02_THYROID.X8305C_THYROID,ML1_THYROID.X8305C_THYROID,CAL62_THYROID.X8505C_THYROID,BHT101_THYROID.X8505C_THYROID,BCPAP_THYROID.X8505C_THYROID,TT2609C02_THYROID.X8505C_THYROID,ML1_THYROID.X8505C_THYROID
metabolite,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
1-methylnicotinamide,0.488260289,0.807032954,1.020577354,0.498307394,0.823639557,1.010615587,1.031411381,0.503597219,0.832382974,1.029287621,0.99677678,1.046072666,0.722951028,1.03250862,1.052413414,1.016496677,1.027287386,1.048426241,0.5119049,0.846114527,1.049455291,0.725288793,1.035847383,1.055816542,1.019783664,1.030609266,1.051816477,0.513560217,0.848850559,0.968414231,1.016307439,0.702379989,1.003129347,1.022467765,0.987573013,0.99805668,1.018594045,0.497339023,0.822038961,0.691109759,0.987033361,1.006061479,0.97172664,0.982042088,1.002249915,0.489358833,0.80884871,1.428186114,1.455718814,1.406038082,1.420964001,1.45020368,0.708076868,1.17036216,1.652874445,1.01927809,0.984492195,0.994943157,1.015416454,0.495787531,0.819474541,0.965872027,0.976125325,0.996211401,0.486410467,0.80397543
2-aminoadipate,0.968518646,0.947919768,1.027548359,0.995199746,0.974033402,0.96897005,0.995663584,0.964318747,0.943809194,1.001825923,1.016584738,0.991911647,0.977939452,1.046335087,1.079367137,1.012568557,0.981148605,1.008177639,0.976438842,0.955671514,0.97572943,0.96198518,1.029264997,1.061758156,0.99604934,0.965141978,0.991730056,0.960509051,0.940080525,1.014731916,0.990103794,0.976157064,1.044428042,1.077399888,1.010723055,0.979360368,1.006340139,0.974659189,0.953929712,0.985913871,1.054867226,1.088168629,1.020825353,0.989149193,1.01639863,0.984401025,0.963464354,1.069938517,1.103715711,1.035410275,1.003281546,1.030920306,0.998465539,0.977229738,0.978731563,1.031569284,0.96772876,0.937700185,0.963532286,0.933198986,0.913351302,0.938113198,0.909003592,0.934045149,0.904640144,0.885399862
2-deoxyadenosine,1.049689816,0.865925526,1.094690106,1.149085055,0.947920106,0.86012368,0.941568882,0.988355266,0.81532853,0.981459036,1.021304198,1.147714318,1.041461093,0.91377011,1.085191617,1.20610196,1.037396856,1.135628073,1.192057223,0.983369337,1.123773231,1.019736427,0.894709051,1.06255474,1.180942918,1.015756968,1.111939103,1.167191152,0.962856453,1.040597886,1.169396048,1.06113557,0.931032347,1.105692216,1.228886704,1.056994553,1.157081479,1.214576645,1.001946389,0.907421888,0.796165122,0.94552416,1.050872975,0.90388073,0.989469292,1.038635838,0.856806717,0.877392459,1.041989589,1.15808643,0.996097562,1.090418145,1.144600822,0.944220906,0.824934674,1.187598068,1.319918376,1.13529305,1.242794069,1.304548278,1.076167109,1.111418427,0.955957307,1.046477005,1.098476255,0.906171152
2-deoxycytidine,0.966839157,1.15844829,1.035060177,1.000736709,1.199063692,0.810014932,0.8384142,0.810611678,0.971259496,0.919609334,0.870814364,1.035055233,1.063230754,1.142224067,1.088883889,1.109884047,0.899022651,0.930542545,0.89968497,1.07798542,1.188606063,1.220961433,1.311673433,1.25042022,1.274535759,1.032392997,1.068588879,1.03315357,1.237904959,0.946939458,1.125537981,1.156176557,1.24207533,1.184072245,1.206908201,0.977613665,1.011888973,0.978333882,1.172221051,1.027221273,1.103539241,1.052005588,1.072294513,0.868574567,0.899026946,0.869214454,1.041476228,1.07429555,1.024127533,1.043878803,0.845557418,0.875202811,0.846180348,1.0138772,1.198180982,0.953301476,0.971686799,0.787080817,0.81467601,0.787660666,0.94376003,1.019285948,0.825636838,0.854583812,0.826245092,0.989991156
2-hydroxyglutarate,0.922063732,0.911505644,1.019386267,0.939939106,0.929176337,1.013210231,1.032852596,0.952355919,0.941450971,1.04390027,0.985518514,1.010953704,0.997603776,0.99408958,1.071550521,1.009793058,1.023132658,1.042967381,0.961682396,0.950670655,1.025808943,1.012262847,1.008697012,1.087296186,1.024631242,1.038166857,1.058293038,0.975813628,0.964640077,0.944073435,0.968438972,0.955650462,0.952284053,1.026487445,0.967327136,0.980105751,0.999106343,0.921239724,0.910691071,0.986794718,0.983318599,1.059940249,0.99885193,1.012046994,1.031666808,0.951262547,0.940370119,0.996477363,1.074124363,1.012218561,1.025590202,1.045472568,0.963992338,0.952954147,0.988549503,1.07792149,1.015796845,1.029215756,1.049168407,0.967400137,0.956322925,0.942366262,0.954815138,0.973325439,0.897468087,0.887191632
3-methyladipate/pimelate,1.009077624,0.988835092,1.022080212,1.031358273,1.010668781,1.011744537,1.034084071,1.043471098,1.022538617,1.013917043,1.005956797,1.005136626,1.082908828,1.029781426,0.993813339,0.972805232,0.984230378,1.005962394,1.015094143,0.994730917,0.999184685,1.076496357,1.023683551,0.98792845,0.967044743,0.978402235,1.000005564,1.009083239,0.988840594,0.992149017,0.991340103,1.068044802,1.015646628,0.98017224,0.95945249,0.970720815,0.992154537,1.001160943,0.981077223,1.077374757,1.024518856,0.98873458,0.967833832,0.979200592,1.000821549,1.009906631,0.989647468,0.950940097,0.917725771,0.89832607,0.908876494,0.92894468,0.937377291,0.918573098,0.979939569,0.965072116,0.944671566,0.955766296,0.976869818,0.985737476,0.965963157,0.978861114,0.990357384,1.012224685,1.021413281,1.00092329
3-phosphoglycerate,0.975019417,0.883273747,1.008820547,0.983619622,0.891064704,0.952690518,0.96109377,0.937085087,0.848908895,0.944435598,0.95816367,0.992052533,0.856987191,0.949869294,0.901340771,1.022204753,0.973844776,0.98243462,0.95789283,0.867758707,1.035368553,0.894405849,0.991343466,0.94069604,1.066837311,1.016365791,1.025330693,0.999717335,0.905647682,1.014535742,1.050418404,0.907406702,1.00575338,0.954369756,1.082344583,1.031139422,1.040234635,1.014248968,0.918811944,0.863852631,0.957478825,0.908561533,1.030393774,0.981646378,0.990305036,0.965566639,0.874710439,1.108382137,1.051755242,1.192788835,1.136358614,1.146381918,1.11774463,1.012569052,0.90590375,0.948910314,1.076153066,1.025240822,1.034284007,1.00844699,0.91355591,1.134093549,1.080440171,1.089970244,1.062742152,0.962742101
4-pyridoxate,1.028989129,1.031938496,0.953743941,0.981392148,0.984205088,1.026698012,0.979207008,1.007593367,1.010481407,1.035917213,1.040221622,1.036083662,1.144130372,1.02626791,1.059910609,1.045362343,1.07327144,1.023626133,1.053300163,1.056319211,0.99602204,1.099890973,0.986585827,1.018927684,1.004941948,1.0317719,0.984046198,1.012572841,1.015475153,1.004155167,1.000160678,1.104461204,0.990685256,1.023161499,1.00911765,1.036059085,0.988135075,1.01678025,1.019694622,1.10428377,0.9905261,1.022997126,1.008955533,1.035892639,0.987976328,1.016616902,1.019530806,0.896985111,0.926389714,0.913674148,0.938067431,0.894676129,0.920612011,0.923250739,1.002866275,1.032781595,1.018605701,1.045800448,0.997425841,1.026340347,1.029282121,0.986274064,1.01260562,0.965766475,0.993763204,0.996611603
5-adenosylhomocysteine,0.916116228,0.847629293,1.021170077,0.935510479,0.865573671,1.019207293,1.04078399,0.953479103,0.882198998,0.944638567,0.943227406,0.961765173,0.886157943,0.92747572,0.978475818,0.948139038,0.966350222,0.986807931,0.904030759,0.836447309,1.01965355,0.939495542,0.983300224,1.037370003,1.005207261,1.024514572,1.046203624,0.958444118,0.886792838,0.998506137,1.018130327,0.938092064,0.981831308,1.035820315,1.00370562,1.022984087,1.044640739,0.957012334,0.885468092,0.921387016,0.964347375,1.017374974,0.98583216,1.004767327,1.026038329,0.939970364,0.869700144,1.046625748,1.104177675,1.069943621,1.090494341,1.11358019,1.020168884,0.94390319,0.92524209,1.054988068,1.022279093,1.041914307,1.063971713,0.974721753,0.901853591,0.968995882,0.98760767,1.0085154,0.923917324,0.854847196
