,BenignA vs BenignB,BenignA vs Atpical,BenignB vs Atpical
Metabolite ,Ratio,Ratio,Ratio
Fatty acids,1.62,1.4,0.87
Leucine,1.5,1.32,0.88
Isoleucine,1.4,1.22,0.87
Lactate,0.7,0.62,0.89
Alanine,2,1.87,0.94
Acetate,1.31,1.4,1.07
Glutamate,0.85,0.74,0.87
Glutamine,1,1.3,1.3
Total glutathione,0.71,0.71,1
Creatine,1.66,1.92,1.16
Ethanolamine,1.25,1.43,1.14
Choline,1.43,1.48,1.03
Phosphocholine,0.74,0.67,0.9
Taurine,0.96,0.78,0.81
Glycine,0.87,0.76,0.88
Glucose,1.14,1.46,1.29
Phosphoethanolamine,0.93,0.61,0.65
Ascorbate,NA,NA,NA
Uracil,NA,NA,1
