,Polyp vs Control,Polyp vs  Non-polyp,Non-polyp vs  Control
,Ratio,Ratio,Ratio
"1,5-anhydro-D-glucitol",0.41,1.35,0.3
"1,6-anhydroglucose",2.18,1.6,1.36
1-methyladenosine,0.97,1.24,0.78
1-methylhistamine,2.59,1.91,1.35
"2,3-bisphospho-glycerate",0.28,0.55,0.52
2-aminobutyric acid,9.7,3.6,2.69
2-aminoethanol,0.83,0.79,1.05
2-aminoisobutyrate,1.09,0.88,1.24
2-deoxy-D-glucose,0.66,0.86,0.77
2-hydroxypyridine,1.41,0.74,1.9
2-thiouracil,2.66,0.78,3.43
3-hydroxy-butyrate,2.47,1.43,1.73
4-aminobutyric acid,1.22,0.57,2.14
4-hydroxybenzyl alcohol,1.26,0.72,1.76
5-aminovaleric acid,0.93,0.44,2.1
5-hydroxyindoleacetate,2.38,1.42,1.67
"a,d-diaminopimelate",0.97,0.76,1.27
Acetoacetic acid,0.94,0.96,0.97
Adenine,1.95,1.65,1.18
Alanine,0.91,0.77,1.18
Allantoin,1.09,0.8,1.36
Arabinose,0.92,0.7,1.31
Arabinose-5-phosphate,2.29,1.74,1.31
Arabitol,0.82,0.64,1.29
Ascorbic acid,3.91,5.8,0.67
a-sorbopyranose,1.77,1.26,1.4
Asparagine,1.01,0.79,1.27
Aspartic acid,1,0.76,1.32
b-alanine,1.3,1.06,1.22
b-cyano-L-alanine,0.93,0.76,1.22
b-glutamic acid,0.23,0.29,0.79
Bicine,1.02,0.83,1.24
Ciliatine,0.12,0.16,0.75
Citric acid+Isocitric acid,8.18,4.6,1.78
Citrulline,1.06,0.78,1.36
Creatinine,1.12,0.92,1.22
Cystamine,0.35,0.51,0.69
Cystathionine,14.67,5.34,2.75
Cysteine sulfonic acid,1.03,0.76,1.36
Cysteine+Cystine,0.44,0.44,0.99
Cytosine,1.12,0.93,1.19
Dihydroxyacetone,1.24,0.99,1.26
Dimethylbenzimidazole,3.34,2.13,1.57
Fructose,1.82,1.27,1.43
Fructose 6-phosphate,3.67,1.32,2.78
Fucose,2.34,1.52,1.55
Fumaric acid,0.65,0.62,1.05
Galactitol,2.9,1,2.9
Galactosamine,0.68,0.59,1.14
Galactose,0.78,0.59,1.32
Galacturonic acid,0.61,0.71,0.87
Glucosamine,3.22,1.25,2.59
Glucose,0.53,0.61,0.88
Glucuronate,0.53,0.62,0.86
Glutamic acid,0.96,0.77,1.25
Glutamine,1.13,0.86,1.32
Glutaric acid,0.79,0.49,1.61
Glyceraldehyde,0.88,0.68,1.3
Glyceric acid,1.2,0.84,1.43
Glycerol,0.45,0.68,0.66
Glycerol-2-phosphate,2.31,1,2.3
Glycine,1.1,0.8,1.37
Glycolic acid,1.08,0.91,1.18
Glycyl-glycine,0.96,1.48,0.65
Heptadecanoate,1.04,0.81,1.29
Histidine,0.93,0.69,1.35
Homocysteine,1.01,0.67,1.52
Homoserine,9.43,2.95,3.2
Hydroxybutyrate,2.01,1.06,1.89
Hypotaurine,2.53,2.61,0.97
Hypoxanthine,3.49,6.8,0.51
Inositol,0.77,0.65,1.18
Isoleucine,0.88,0.66,1.33
Ketovaline,1.04,0.8,1.3
Kojic acid,2.9,1.74,1.67
Kynurenine,0.94,0.664,1.47
Lactic acid,0.96,0.79,1.22
Lauric acid,0.67,0.66,1.01
Lysine,0.77,0.64,1.2
Lyxose,0.57,0.56,1.01
Malic acid,0.69,0.62,1.1
Malonic acid,1.08,0.8,1.35
Mannose,0.84,0.75,1.13
Meso-erythritol,1.13,0.91,1.24
Methionine,0.78,0.75,1.04
N-a-acetyl-L-lysine,0.59,0.55,1.07
N-acetyl-D-glucosamine,1.16,0.79,1.47
N-acetyl-DL-valine,1,0.95,1.05
N-Acetyl-L-glutamine,1.57,1.3,1.21
n-butylamine,0.99,0.86,1.15
Nicotinamide,1.2,0.92,1.31
N-methylethanolamine,0.91,0.81,1.13
Nonanoic acid,1.28,0.92,1.39
O-phosphoethanolamine,2.43,1.05,2.33
Ornithine,0.56,0.58,0.98
Orotic acid,3.35,1.51,2.22
Oxalate,1.2,0.77,1.55
Pantothenate,0.5,0.47,1.07
p-coumaric acid,0.9,1.17,0.77
Phenylalanine,0.87,0.73,1.18
Phosphate,0.9,0.77,1.16
Prolinamide,0.89,1.09,0.82
Proline,0.96,0.77,1.24
Putrescine,14.01,13.63,1.03
Pyroglutamic acid,0.98,0.72,1.37
Pyruvate+Oxalacetic acid,1.41,1.15,1.23
Rhamnose,2.8,1.37,2.05
Ribitol,0.84,0.8,1.05
Ribose,0.42,0.42,1
Ribulose,0.65,0.57,1.13
Ribulose-5-phosphate,2.5,1.62,1.54
Sarcosine,10.44,2.08,5.01
Serine,0.99,0.77,1.28
Sorbitol,0.62,0.71,0.86
Spermidine,1.52,2.04,0.74
Succinic acid,0.53,0.63,0.85
Tagatose,2.73,1.95,1.4
Taurine,0.83,0.69,1.21
Theanine,1.06,1,1.06
Threonine,1.01,0.74,1.36
Thymine,1.28,0.98,1.32
Trans-4-hydroxy-L-proline,4.3,2,2.15
Tryptophan,0.92,0.75,1.23
Tyrosine,1.05,0.79,1.34
Uracil,1.27,1.02,1.24
Urea,0.95,1.01,0.94
Uric acid,0.73,0.37,1.95
Urocanate,0.77,0.69,1.13
Valine,1.01,0.74,1.36
Xylitol,0.45,0.52,0.86
Xylose,0.53,0.56,0.95
