Metabolite,Cancer vs Control
,ratio
alpha-hydroxyisovalerate,3.3811
10-nonadecenoate,0.4745
1-linoleoylglycerol,0.3118
1-linoleoylglycerophosphocholine,0.4102
2-oleoylglycerophosphocholine,0.3222
carnitine,0.72
cytidine,0.1783
serotonin,0.2999
1-palmitoylglycerophosphocholine,0.4916
dihomo-linoleate,0.3897
linolenate,0.3136
margarate,0.5859
stearidonate,0.2824
2-palmitoylglycerophosphocholine,0.4259
docosadienoate,0.443
1-oleoylglycerol,0.2904
dihomo-linolenate,0.3292
palmitate,0.616
1-eicosatrienoylglycerophosphocholine,0.274
1-myristoylglycerophosphocholine,0.4957
1-palmitoleoylglycerophosphocholine,0.363
docosapentaenoate,0.3353
myristate,0.7622
alanylalanine,0.4515
eicosapentaenoate,0.4101
eicosenoate,0.3815
13-HODE + 9-HODE,0.4519
1-docosahexaenoylglycerophosphocholine,0.3498
docosahexaenoate,0.4032
linoleate,0.4942
malate,0.3798
2-palmitoylglycerophosphoethanolamine,0.6462
erythritol,1.4868
oleate,0.4766
phosphate,0.528
1-arachidonoylglycerophosphocholine,0.3845
1-linoleoylglycerophosphoethanolamine,0.5368
cinnamoylglycine,0.3345
10-heptadecenoate,0.5352
1-arachidonoylglycerophosphoethanolamine,0.4686
1-oleoylglycerophosphocholine,0.4296
stearate,0.785
fumarate,0.4307
caprylate,0.6852
mead acid,0.5192
1-oleoylglycerophosphoethanolamine,0.6072
benzoate,0.53
glutamine,0.7867
1-palmitoylglycerol,0.4854
palmitoleate,0.5397
uridine,1.4207
N-formylmethionine,0.5411
1-palmitoylglycerophosphoethanolamine,0.6469
indolepropionate,0.5375
ornithine,1.3078
urate,0.5576
adrenate,0.4564
2-(4-hydroxyphenyl)propionate,0.5078
caproate,0.7508
cholate,0.4153
guanosine,0.3956
heme,0.3735
acetylcarnitine,0.7267
caprate,0.6756
arachidonate,0.6281
pelargonate,0.708
phenylpropionylglycine,0.4311
nicotinamide,0.6414
methyl palmitate,0.791
phenol sulfate,0.7251
3-phenylpropionate,0.4971
2-arachidonoylglycerophosphoethanolamine,0.5792
cholesterol,0.7465
genistein,0.4342
pseudouridine,1.3632
inositol 1-phosphate,0.6617
gamma-glutamylvaline,0.7539
glycerol,0.619
kynurenine,1.5109
1-heptadecanoylglycerophosphocholine,0.5142
Isobar: 2-propylpentanoic acid 2-ethylhexanoic acid,0.7392
N-acetyltryptophan,0.8002
docosapentaenoate,0.4044
tryptophan,0.8171
2-aminobutyrate,1.6844
N4-acetylcytidine,1.8843
TDTEDKGEFLSEGGGVR,1.7379
catechol sulfate,0.7113
1-arachidonoylglycerophosphoinositol,0.6522
2-linoleoylglycerophosphocholine,0.4114
inosine,0.386
valine,0.8381
1-eicosadienoylglycerophosphocholine,0.4273
N-acetyl-beta-alanine,1.3423
pantothenate,1.4106
2-linoleoylglycerophosphoethanolamine,0.4588
ergothioneine,0.6593
glucose,0.7558
C-glycosyltryptophan,1.3033
hydroxyisovaleroyl carnitine,0.6195
daidzein,0.4321
3-dehydrocarnitine,0.6327
alpha-tocopherol,0.6429
betaine,0.836
erythronate,2.0487
ribose,0.4035
p-cresol sulfate,2.4892
histidine,0.8656
isovalerate,0.5584
15-anhydroglucitol,0.8669
glycerol 3-phosphate,0.6659
N-acetylphenylalanine,1.5768
2-hydroxybutyrate,1.498
heptanoate,0.8343
4-guanidinobutanoate,0.7206
sarcosine,0.0199
pyruvate,5.0617
campesterol,0.5765
acetylphosphate,0.7813
glutaroyl carnitine,1.3636
laurate,0.8385
scyllo-inositol,0.7411
phenylacetylglycine,0.8122
dimethylarginine,1.2026
glucuronate,0.7558
12-HETE,1.6595
gamma-glutamylleucine,0.7451
stearoyl sphingomyelin,0.7123
leucine,0.847
2-hydroxyisobutyrate,1.4878
butyrylglycine,0.7016
isovalerylglycine,0.8509
citrate,0.9017
myo-inositol,1.1594
creatine,0.8042
2-methylbutyroylcarnitine,0.8106
isobutyrylcarnitine,2.0406
glycolate,0.8303
4-acetamidobutanoate,1.4079
Isobar: ribulose 5-phosphate xylulose 5-phosphate,0.3927
glutathione oxidized,0.7458
N-acetylornithine,0.8872
phenyllactate,0.7726
arginine,0.7635
glycerate,1.2174
corticosterone,1.4892
indolelactate,0.8704
2-hydroxy-3-methylvalerate,1.7488
azelate,0.8823
1-stearoylglycerophosphocholine,0.6626
1-stearoylglycerophosphoethanolamine,0.7886
deoxycarnitine,0.8841
2-stearoylglycerophosphocholine,0.6842
N-acetylleucine,0.7751
kynurenate,0.705
gamma-glutamylisoleucine,0.781
glycine,0.7848
sorbitol,0.7151
lysine,0.8253
stearoylcarnitine,0.8545
homostachydrine,0.7633
choline,1.0959
3-indoxyl sulfate,0.9328
1-stearoylglycerophosphoinositol,0.8221
pinitol,0.8607
alpha-hydroxyisocaproate,1.2767
cis-aconitate,0.9536
palmitoyl sphingomyelin,1.12
alpha-muricholate,0.8388
1-palmitoylglycerophosphoinositol,0.7242
pyridoxate,0.8567
citrulline,0.9044
lactate,1.2324
glutamate,0.8765
3-phosphoglycerate,0.5498
xylose,0.6219
allantoin,1.2056
3-methyl-2-oxovalerate,0.8214
2-hydroxypalmitate,1.2642
glycerophosphorylcholine,0.8907
stachydrine,0.897
succinate,0.7799
isovalerylcarnitine,1.274
myristoleate,0.9038
urocanate,1.2794
fructose,1.2471
urea,0.962
hexanoylcarnitine,1.5711
pipecolate,1.068
threonate,1.1147
adenosine,0.811
serine,0.8319
N-acetylglycine,1.2801
pentadecanoate,0.9242
asparagine,1.1239
xanthine,0.6376
beta-hydroxyisovalerate,0.9742
pyrophosphate,0.776
3-hydroxyisobutyrate,1.3129
succinylcarnitine,0.8284
trans-4-hydroxyproline,0.9338
3-methyl-2-oxobutyrate,0.8876
undecanoate,1.1006
hexanoylglycine,1.1378
hexadecanedioate,1.0812
anserine,0.8778
uracil,0.862
isoleucine,0.9312
hypoxanthine,0.8016
hippurate,0.906
oxalate,0.9053
tyrosine,0.9208
threonine,1.0521
gamma-glutamylphenylalanine,0.8885
mannose,0.8798
gamma-glutamylthreonine,1.0639
4-methyl-2-oxopentanoate,0.9278
deoxycholate,1.3211
alanine,1.1577
tauro-beta-muricholate,1.0691
proline,1.0724
gamma-glutamyltyrosine,0.8415
butyrylcarnitine,0.9964
3-hydroxybutyrate,1.0558
3-ureidopropionate,0.9567
ophthalmate,1.0559
cysteine-glutathione disulfide,0.9677
7-alpha-hydroxy-3-oxo-4-cholestenoate,0.973
pro-hydroxy-pro,0.9936
5-oxoproline,1.0095
5-methylthioadenosine,0.9934
taurocholate,1.1078
phenylalanine,1.0639
taurodeoxycholate,1.0762
methionine,1.0015
propionylcarnitine,0.9449
adenosine 5-monophosphate,1.0689
gulono-14-lactone,0.9915
methylglutaroylcarnitine,1.1942
octadecanedioate,1.0674
N-acetyltyrosine,0.972
taurine,0.9035
N-acetylmethionine,0.9903
3-(4-hydroxyphenyl)lactate,1.0447
erythrose,0.8607
TDTEDKGEFLSEGGGV,1.3498
