,H vs N,A vs N,H vs A
Metabolite,Ratio,Ratio,Ratio
2-oxoglutarate,0.390226841,0.297094856,1.313475589
4-aminobutyric acid,1.471909476,0.883477791,1.666040154
4-hydroxyproline,1.25495348,1.473166853,0.851874638
4-hydroxyproline,1.259882791,0.693483978,1.816743906
Acetylaspartate,0.751895938,0.238710573,3.149822518
Alanine,0.960793324,0.503989114,1.906377138
Aspartate,1.978870863,1.053541587,1.878303511
Aspartate,6.437550129,4.382441009,1.46894165
Benzoic acid,1.273526491,1.601726286,0.795096205
Citrate,0.470467188,0.175249013,2.684563991
Creatinine,1.823750775,1.283016002,1.421455985
Fructose,0.749108166,0.550465246,1.360863691
Glucose,0.59459387,1.097739923,0.54165277
Glutamate,2.217364539,1.141820395,1.941955626
Glycerol,2.427740494,1.543634391,1.572743201
Glycerol-3-phosphate,2.912126174,2.386389952,1.220306083
Glycine,1.081587123,1.091271351,0.991125738
Glycine,1.990473524,1.15325935,1.725954812
Hexadecanoic acid,1.211890583,1.315293753,0.921383973
2-Hydroxyglutaric acid,1.447971075,3.780408115,0.383019778
Hypotaurine,1.068338786,1.508739688,0.708100142
Isoleucine,1.876678436,1.270841656,1.476720902
Lactate,1.282158549,1.094787483,1.171148346
Leucine,2.291567096,1.650498111,1.388409403
Leucine,6.096377197,2.309724707,2.639438882
Lysine,6.744113658,3.570259006,1.888970421
Malate,0.827433417,0.536100585,1.543429423
Malonate,1.041988394,0.941741388,1.106448551
Methionine,2.534401313,1.907122081,1.328914042
Myo-Inositol-1-phosphate,4.703712394,1.900465603,2.475031585
Octadecanoic acid,1.209588954,1.359386324,0.889805151
Pantothenic acid,1.10704817,0.806185513,1.373192835
Phosphate,0.966659016,1.055651785,0.915698747
Putrescine,0.994532941,0.690114601,1.441112737
Pyruvate,1.116756089,0.369808594,3.019821891
Scyllo-inositol,0.875893054,1.035341066,0.845994699
myo-inositol,1.148096618,1.289986547,0.89000666
Succinate,1.509067971,1.629476918,0.926105767
Threonine,2.056118249,1.668700713,1.232167179
Threonine,6.404611231,7.97223324,0.803364758
Valine,4.121046819,2.616544236,1.574996043
Xylitol,2.030220894,1.475423765,1.376025616
