Annotation, CD47-0h  vs  WT-0h, CD47-2h  vs  WT-2h, CD47-8h  vs  WT-8h, WT-2h  vs  WT-0h, WT-8h  vs  WT-0h, CD47-2h  vs  CD47-0h, CD47-8h  vs  CD47-0h
,ratio,ratio,ratio,ratio,ratio,ratio,ratio
glycine,0.799253278,1.080073843,1.311383231,0.752539724,0.694885821,1.016947311,1.140141228
sarcosine,0.776902713,0.853178156,1.397212544,0.665320979,0.607809398,0.730641452,1.093108442
serine,0.654087027,0.921151322,1.220054716,0.867507117,0.683773892,1.221711017,1.275428998
N-acetylserine,0.539734646,0.63230066,0.972070494,0.807960607,0.663589112,0.94652813,1.195134313
homoserine,0.886641418,0.679699912,1.320060429,0.97521088,0.797641591,0.747597321,1.187554606
threonine,0.989723828,1.324156772,1.410792821,0.873199376,0.771905679,1.168258088,1.100305924
N-acetylthreonine,0.715513308,0.914730961,1.208410502,0.775893536,0.698022814,0.991922627,1.178871293
allo-threonine,0.794547872,1.322712418,0.956446991,0.976595745,0.928191489,1.625774059,1.117322176
betaine,0.672991492,0.801833503,1.104150695,0.813116482,0.68752353,0.968784963,1.12799284
aspartate,1.019279601,1.346132808,1.934397403,0.859682122,0.695288254,1.135357077,1.319523897
asparagine,0.693927398,0.851251841,1.023880597,0.915017266,0.761812516,1.122466319,1.12404418
beta-alanine,1.165447116,1.405316396,2.549480221,0.807944503,0.703886724,0.974233529,1.539791259
alanine,0.746387345,1.047682939,1.325263422,0.828473707,0.681658829,1.162905258,1.210333372
N-acetylalanine,0.757223236,0.994966098,1.323256341,0.740115572,0.671532847,0.972487198,1.173511397
N-acetylaspartate,5.668653576,8.530660377,10.55063291,0.743338008,0.609396914,1.118636729,1.134224037
glutamate,1.050298947,1.275343891,1.384174312,0.821011673,0.744804024,0.996927803,0.98156682
"glutamate, gamma-methyl ester",0.894629459,1.252319696,1.628034547,0.624193761,0.563906805,0.873758552,1.026189951
glutamine,0.881424007,1.05711858,1.163911195,0.966864445,0.772980374,1.159589892,1.02071251
pyroglutamine,0.938105949,0.953866769,1.530076604,0.810362212,0.617621965,0.82397685,1.007358413
gamma-aminobutyrate,0.978252539,1.234056836,2.016807835,0.856294309,0.723893466,1.080207619,1.492410146
N-acetyl-aspartyl-glutamate,6.287332054,7.596770576,9.780691964,0.855854127,0.687907869,1.034099582,1.070122417
histidine,0.769637281,1.177585164,1.371050604,0.794459124,0.623428617,1.215563878,1.110590928
imidazole propionate,1.421789543,1.673852877,2.221249444,0.750929775,0.737147233,0.884059086,1.151638714
lysine,0.630311911,0.882974082,0.989568464,0.799595283,0.635475543,1.120115133,0.997675191
2-aminoadipate,0.934169012,1.114260009,1.655008811,0.758250192,0.629061141,0.904427202,1.114468279
pipecolate,0.800366559,1.104367607,1.590087891,0.774707458,0.577470746,1.06896248,1.147260877
phenylalanine,0.811893011,1.277625671,1.55160451,0.726874701,0.642493234,1.143837631,1.227865477
tyrosine,0.74533437,1.228755986,1.519051867,0.698211509,0.610186625,1.151069379,1.243609807
3-(4-hydroxyphenyl)lactate,0.695470431,1.021381905,1.527798742,0.692249709,0.544781745,1.016651887,1.196768154
phenylacetylglycine,0.754889071,0.871964073,1.251560062,0.896548891,0.632046015,1.035593774,1.047893763
phenol sulfate,1.526714616,1.525572481,2.231127369,1.273182635,0.772412022,1.272230167,1.128796164
kynurenine,0.839054875,0.928028569,1.246277205,0.934937077,0.74736752,1.034078155,1.110090807
tryptophan,0.75,1.210922587,1.526258206,0.707320732,0.617011701,1.142014201,1.255625563
C-glycosyltryptophan,0.793469583,1.037798837,1.330957739,0.741338017,0.638511895,0.969614649,1.071033303
