BIOCHEMICAL NAME,Tumor vs Normal
,Ratio
"1,2-propanediol",0.8573
"1,3-dihydroxyacetone",1.3329
"1,5-anhydroglucitol",0.9926
10-heptadecenoate,1.6452
10-nonadecenoate,2.2687
13-HODE + 9-HODE,1.1634
15-methylpalmitate,1.371
16-hydroxypalmitate,0.74
1-arachidonoylglycerophosphocholine,0.7688
1-arachidonoylglycerophosphoethanolamine,0.4246
1-arachidonoylglycerophosphoinositol,0.5469
1-arachidonylglycerol,0.7688
1-docosahexaenoylglycerophosphocholine,0.6942
1-heptadecanoylglycerophosphocholine,0.3185
1-heptadecanoylglycerophosphoethanolamine,0.0966
1-linoleoylglycerol,1.7685
1-linoleoylglycerophosphocholine,0.619
1-linoleoylglycerophosphoethanolamine,0.1264
1-methylimidazoleacetate,0.7198
1-myristoylglycerophosphocholine,0.4309
1-myristoylglycerophosphoethanolamine,0.1105
1-oleoylglycerol,1.6995
1-oleoylglycerophosphocholine,0.2853
1-oleoylglycerophosphoethanolamine,0.0512
1-oleoylglycerophosphoinositol,0.3576
1-oleoylglycerophosphoserine,0.4612
1-palmitoleoylglycerophosphocholine,0.4281
1-palmitoleoylglycerophosphoethanolamine,0.1959
1-palmitoylglycerol,0.7969
1-palmitoylglycerophosphocholine,0.3428
1-palmitoylglycerophosphoethanolamine,0.0284
1-palmitoylglycerophosphoinositol,0.2214
1-palmitoylplasmenylethanolamine,0.1187
1-pentadecanoylglycerophosphocholine,0.3829
1-stearoylglycerol,0.6235
1-stearoylglycerophosphocholine,0.3614
1-stearoylglycerophosphoethanolamine,0.1087
1-stearoylglycerophosphoinositol,0.2983
2-aminoadipate,4.6926
2-aminobutyrate,1.3568
2-arachidonoylglycerophosphocholine,1.259
2-arachidonoylglycerophosphoethanolamine,0.8918
2'-deoxyadenosine 3'-monophosphate,1.1566
2'-deoxycytidine 3'-monophosphate,1.583
2'-deoxyguanosine,1.2025
2'-deoxyinosine,1.3738
2-docosahexaenoylglycerophosphocholine,0.9199
2-docosahexaenoylglycerophosphoethanolamine,1.1148
2-docosapentaenoylglycerophosphocholine,1.0461
2-docosapentaenoylglycerophosphoethanolamine,1.6155
2-eicosatrienoylglycerophosphocholine,1.2991
2-ethylhexanoate,0.9456
2-hydroxyacetaminophen sulfate,N.A.
2-hydroxybutyrate,1.0538
