,LNCaP MN4 treated  vs  control,AsPC-1 MN4 treated  vs  control,L428 MN4 treated  vs  control
Metabolites,ratio,ratio,ratio
glycine,1.31,0.6,1.24
serine,0.76,1.37,2.25
threonine,1.92,1.59,2.49
alanine,0.85,1.34,1.39
aspartate,0.19,0.43,0.45
asparagine,0.61,1.64,2.14
glutamate,0.74,1.61,1.11
glutamine,2.86,3.18,19.56
histidine,1.33,1.38,2.85
lysine,1.38,1.21,1.28
phenylalanine,1.03,1.35,2.32
tyrosine,1.36,1.37,2.46
tryptophan,1.33,1.6,2.7
leucine,1.25,1.51,2.96
isoleucine,1.88,1.54,3.02
valine,1.05,1.32,2.53
methionine,1.36,1.58,3.07
cysteine,0.99,N.A.,N.A.
cystine,2.16,2.71,2.08
arginine,1.55,1.14,31.88
proline,1.15,2.08,1.89
5-oxoproline,1.89,2.36,4.08
GSH,0.14,0.76,0.53
"glutathione, oxidized",0.17,0.71,0.6
S-methylglutathione,N.A.,1.22,0.81
S-lactoylglutathione,N.A.,0.21,1
S-nitrosoglutatione,N.A.,0.36,0.37
glucose,2.73,0.68,1.24
glucose 6-phosphate,0.56,0.72,0.43
glucose 1-phosphate,N.A.,0.45,0.51
dihydrozyacetone phosphate,N.A.,0.81,1.29
3-phosphoglyzerate,7.08,0.99,1011
phosphoenolpyruvate,N.A.,1.01,1.24
pyruvate,0.69,3.61,4.58
lactate,0.11,0.66,0.91
acetyl CoA,0.72,1,2.01
glycerate,2.21,1.09,3.03
citrate,0.74,0.73,0.28
alpha-ketoglutarate,N.A.,1.65,1.18
succinylcarnitine,0.67,0.34,1
succinate,0.85,0.15,0.51
fumarate,0.23,0.7,0.91
malate,0.27,0.75,0.99
2-methylcitrate,N.A.,1,0.82
carnitine,1.48,1.46,1.96
deoxycarnitine,0.92,0.94,1.34
acetylcarnitine,2.07,3.72,1.09
hydroxybutyrylcarnitine,N.A.,8.55,5.25
hexanoylcarnitine,N.A.,2.29,0.07
myristoylcarnitine,0.42,N.A.,N.A.
palmitoylcarnitine,0.44,0.27,0.17
oleoylcarnitine,0.04,1,0.23
butyrylcarnitine,0.74,14.02,0.47
propionylcarnitine,0.08,0.67,0.12
methylmalonate,N.A.,0.56,0.21
xanthine,1.6,1.26,1.59
xanthiosine 5'-monophosphate,N.A.,1.03,3.44
xanthosine,2.4,1.87,3.16
hypoxanthine,0.75,1.15,1.42
inosine 5'-monophosphate,N.A.,1.01,0.74
inosine,0.57,1.13,1.72
adenosine 5'-diphosphate,N.A.,0.35,0.88
adenosine 5'-monophosphate,1.02,1.11,1.31
adenylosuccinate,0.27,1.22,1.06
adenosine,0.86,0.69,2.61
adenine,2121,0.68,1.96
guanosine 5'-triphosphate,N.A.,0.56,0.7
guanosine 5'-monophosphate,3.63,1.6,1.68
guanosine,1,1.52,1.48
guanine,0.99,1.28,0.97
cytidine triphosphate,N.A.,0.8,0.64
cytidine diphosphate,N.A.,0.64,0.86
cytidine 5'-monophosphate,2.46,1.26,1.36
cytidine,2.18,1.53,3.3
uridine 5'-triphosphate,0.23,0.44,0.48
uridine 5'-diphosphate,N.A.,0.37,0.66
uridine 5'-monophosphate,1.27,0.93,1.1
uridine,1.08,1.13,1.66
uracil,1.94,1.22,1.84
UDP-glucose,N.A.,0.54,0.85
UDP-galactose,N.A.,0.66,1.42
UDP-glucuronate,0.8,0.74,0.47
"UDP-acetylglucosamine, UDP-acetylgalactosamine",0.67,0.44,0.49
UDP-N-acetylgalactosamine,N.A.,0.54,0.49
