,LNCAPCLONEFGC_PROSTATE.DU145_PROSTATE,X22RV1_PROSTATE.DU145_PROSTATE,PC3_PROSTATE.DU145_PROSTATE,X22RV1_PROSTATE.LNCAPCLONEFGC_PROSTATE,PC3_PROSTATE.LNCAPCLONEFGC_PROSTATE,DU145_PROSTATE.MDAPCA2B_PROSTATE,LNCAPCLONEFGC_PROSTATE.MDAPCA2B_PROSTATE,X22RV1_PROSTATE.MDAPCA2B_PROSTATE,PC3_PROSTATE.MDAPCA2B_PROSTATE,VCAP_PROSTATE.NCIH660_PROSTATE,MDAPCA2B_PROSTATE.NCIH660_PROSTATE,DU145_PROSTATE.NCIH660_PROSTATE,LNCAPCLONEFGC_PROSTATE.NCIH660_PROSTATE,X22RV1_PROSTATE.NCIH660_PROSTATE,PC3_PROSTATE.NCIH660_PROSTATE,MDAPCA2B_PROSTATE.VCAP_PROSTATE,DU145_PROSTATE.VCAP_PROSTATE,LNCAPCLONEFGC_PROSTATE.VCAP_PROSTATE,X22RV1_PROSTATE.VCAP_PROSTATE,PC3_PROSTATE.VCAP_PROSTATE,PC3_PROSTATE.22RV1_PROSTATE
metabolite,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
1-methylnicotinamide,0.795749202,0.572404052,0.791548463,0.719327208,0.994721026,1.530264313,1.217706606,0.875929493,1.211278365,1.438026775,1.195688163,1.829718925,1.455997375,1.047338526,1.448311203,0.831478373,1.272381681,1.012496707,0.728316429,1.007151764,1.382849162
2-aminoadipate,1.033937106,0.932002138,0.990992395,0.901410863,0.958464871,1.116410595,1.15429834,1.040497062,1.106354409,1.067041865,0.944492868,1.054441845,1.09022655,0.982742054,1.044943849,0.885150713,0.988191635,1.021727999,0.920996717,0.979290395,1.063294121
2-deoxyadenosine,1.007245643,1.168146838,1.160576657,1.159743749,1.152228024,0.91093561,0.917535924,1.064106552,1.057210604,1.018463241,1.00481214,0.915319159,0.921951235,1.069227182,1.06229805,0.986596374,0.898725769,0.905237615,1.049843666,1.043040149,0.993519495
2-deoxycytidine,1.447235373,1.401069573,1.120196515,0.968100697,0.774025108,0.728137448,1.053786271,1.020171223,0.815657032,0.950699984,0.993984037,0.723757,1.047446731,1.014033911,0.810750069,1.045528615,0.761288537,1.1017637,1.066618206,0.852792766,0.799529543
2-hydroxyglutarate,1.193820842,1.040000761,1.092058603,0.871153128,0.914759204,1.035899338,1.236678219,1.0773361,1.131262783,0.809051304,0.809974706,0.839052261,1.001678077,0.87261499,0.91629424,1.001141339,1.03708165,1.238089688,1.078565705,1.132553938,1.05005558
3-methyladipate/pimelate,0.945022896,0.963202647,0.940143545,1.019237366,0.994836791,1.062725614,1.004300038,1.023620125,0.999114627,0.98803459,0.947731548,1.007178591,0.951806829,0.970117085,0.946892452,0.959208875,1.019375841,0.96333351,0.981865509,0.958359618,0.976059968
3-phosphoglycerate,1.071894421,1.034435646,1.095582527,0.965053671,1.022099291,0.961882092,1.031036048,0.995005123,1.053821214,1.029413521,1.036020318,0.996529391,1.068174294,1.030845524,1.091780189,1.00641802,0.968055471,1.037653258,1.001391086,1.060584659,1.059111344
4-pyridoxate,0.889755525,0.938937922,0.91236673,1.055276304,1.02541283,1.015390511,0.903449317,0.953388656,0.926408521,1.101014428,1.054637699,1.070869112,0.952811709,1.005479618,0.97702535,0.957878182,0.972620417,0.865394389,0.913230193,0.88738651,0.971700801
5-adenosylhomocysteine,0.991756525,0.979179324,0.922829151,0.987318257,0.930499702,0.96389848,0.955952607,0.943829462,0.889513616,0.95439203,0.955322079,0.9208335,0.913242632,0.901661124,0.849771997,1.000974494,0.964837793,0.956884177,0.944749218,0.890380441,0.942451631
