metabolite_name,Rep Sen-1,Rep Sen-2,Rep Sen-3,Rep Sen-4,Rep Sen-5,Rep Sen-6,Early-1,Early-2,Early-3,Early-4,Early-5,Early-6,Ctl. Inf-1,Ctl. Inf-2,Ctl. Inf-3,Ctl. Inf-4,Ctl. Inf-5,Ctl. Inf-6,Ras-1,Ras-2,Ras-3,Ras-4,Ras-5,Ras-6
"1,4-butanediol",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-arachidonoylglycerophosphoethanolamine,1.898298174,3.364053054,1.813463374,3.212302182,2.498466794,2.260727295,0.781425563,0.986100309,1.11527237,0.998910988,1.234201385,0.855285193,1.751855769,1.193860501,1.447808274,0.840819149,0.64694538,0.916247268,0.401469514,0.431156134,0.631454225,0.579898876,1.001089012,0.569064706
1-arachidonoylglycerophosphoinositol,0.447732877,0.447732877,0.447732877,0.820345323,0.615145066,0.547129475,0.793735088,0.970043619,1.314992477,1.639139329,1.029956381,2.10426608,0.814064867,0.588993537,0.824830109,0.521542647,0.494666623,1.09171573,1.14270065,1.460281485,2.15405565,1.933209178,3.248620488,1.50913592
1-heptadecanoylglycerophosphocholine,0.554350706,0.554350706,0.554350706,0.554350706,3.152840598,0.554350706,0.708729611,0.612071452,0.554350706,0.959772302,0.554350706,0.702204529,4.790915364,1,0.554350706,2.41784693,2.023114256,1.398029468,0.8255404,0.78437187,1.173945763,1.652333849,1.100054038,0.652413995
1-linoleoylglycerophosphocholine,0.320613804,0.320613804,0.320613804,0.320613804,0.320613804,0.320613804,0.320613804,0.320613804,0.321927174,0.828269046,0.320613804,0.903774418,6.434724634,0.320613804,0.320613804,1.942701993,1.929392236,0.803322651,1.097691264,1.080524463,0.93180305,2.537276336,1.06819695,0.409798161
1-methylnicotinamide,1.745713859,2.233558862,1.82716195,1.548235257,3.042556119,2.311628871,0.954687826,1.072199964,1.108628358,1.076080557,1.251322866,0.883284716,1.030831735,1.029369571,0.937136726,0.758298104,0.970630429,0.720621965,0.222741617,0.21311794,0.317656773,0.290442419,0.33894462,0.240070815
1-myristoylglycerophosphocholine,1.51282359,0.133016019,0.133016019,0.41961776,1.365737594,0.904103274,0.285214917,1.002642664,0.133016019,0.602950754,0.133016019,0.570764771,3.571566849,0.467126313,0.133016019,1.252998349,0.997357336,0.65888783,1.387200747,0.948406909,1.521970231,2.47226082,1.19271606,1.370424972
1-oleoylglycerol (1-monoolein),0.121245269,0.984488334,0.121245269,0.121245269,0.121245269,0.121245269,0.310355625,0.352723281,0.121245269,0.121245269,0.545419268,0.411153104,1.271030865,0.121245269,1,0.421338344,1.440192078,0.770651184,1.782216786,1.344155152,1.917164748,1.082903058,2.256045662,1.526785923
1-oleoylglycerophosphocholine,0.118313685,0.18621915,0.433762082,0.178616099,2.323526817,0.073474294,0.603480704,0.566334757,0.374275018,1.060069631,0.127166465,0.939930369,6.224455556,0.867406381,0.510155195,3.079948517,2.17130774,1.602041713,1.992246425,1.528794667,1.941662249,4.359336742,1.897340683,1.812927339
1-oleoylglycerophosphoethanolamine,1.092287793,0.668514182,1.627854143,1.128311754,0.947828492,1.217685093,0.668514182,0.932267599,1.199526766,0.855361398,1.037426531,1.221893867,1.593093377,0.93053999,1.511481844,0.745555403,0.733383745,1,0.71403371,0.853036449,1.111155074,0.958148135,1.205334902,0.748292539
