metabolite_name,WT_0h_1,WT_0h_2,WT_0h_3,WT_0h_4,WT_0h_5,WT_0h_6,CD47_0h_1,CD47_0h_2,CD47_0h_3,CD47_0h_4,CD47_0h_5,CD47_0h_6,WT_2h_1,WT_2h_2,WT_2h_3,WT_2h_4,WT_2h_5,WT_2h_6,CD47_2h_1,CD47_2h_2,CD47_2h_3,CD47_2h_4,CD47_2h_5,CD47_2h_6,WT_8h_1,WT_8h_2,WT_8h_3,WT_8h_4,WT_8h_5,WT_8h_6,CD47_8h_1,CD47_8h_2,CD47_8h_3,CD47_8h_4,CD47_8h_5,CD47_8h_6
"1,3-dihydroxyacetone",2.302,1.5506,1.582,1.1598,0.8834,1.0624,0.9336,1.166,1.0106,0.5369,0.4658,0.9843,1.3066,0.8755,1.1307,0.9237,0.9894,3.0676,0.4184,0.9866,1.5123,0.6536,1.723,1.2724,0.7487,0.8448,0.9064,0.6382,1.1408,1.3055,1.4948,1.2617,0.5016,1.4754,0.6796,0.8536
"1,3-dipalmitoylglycerol",1.0056,0.4253,0.4253,0.4253,1.148,0.4253,1.4621,0.7495,0.9039,2.1828,0.4253,0.4253,0.4253,0.8871,0.9603,0.4253,0.8022,0.4253,0.4253,2.1798,0.9044,0.4253,0.4253,0.7879,0.8899,0.4253,0.4253,0.4253,0.4253,0.5446,5.2268,1,1.4026,3.9872,1.1973,1.401
1-arachidonoylglycerophosphoethanolamine,3.241,2.9152,1.371,0.9071,0.5463,1.3182,1.0494,1.3949,0.636,0.8176,0.5337,1.1555,0.9159,0.6549,0.9517,1.3588,1.0157,1.7724,0.3364,0.7829,3.6646,0.5238,1.2141,2.8112,0.8035,1.2425,0.8362,0.9843,0.8432,1.0528,1.2558,0.982,0.3934,1.616,0.5962,1.0637
1-arachidonoylglycerophosphoinositol,2.2634,2.1858,1.4401,0.8422,0.6745,1.2772,0.8008,1.3418,0.5888,0.4506,0.4602,1.2152,0.7141,0.5583,1.0279,1.5549,0.9814,1.2703,0.2514,0.5654,0.7439,0.2105,1.3322,1.2548,0.6265,1.3681,0.653,1.1141,1.0234,1.4873,0.9841,1.1257,0.2979,1.6313,0.4713,1.0159
1-docosapentaenoylglycerophosphocholine,0.2609,0.1131,0.1131,0.1131,0.1131,0.4244,0.1131,0.3493,0.2191,0.1131,0.1131,1.338,0.1131,0.1131,0.1131,0.1131,0.1131,0.1131,0.1131,0.1131,1.2395,0.1131,0.8881,1,0.1131,0.1131,0.1131,0.1131,0.1131,0.1131,1.9797,1.6951,0.6098,2.6573,3.5235,2.4284
1-linoleoylglycerophosphocholine,0.2896,0.0613,0.0613,0.0613,0.0613,0.4923,0.0613,0.4899,0.2485,0.1719,0.0613,1.7183,0.0613,0.0613,0.0613,0.0613,0.0613,0.0613,0.0613,0.0814,1.4879,0.0613,1,1.2249,0.0613,0.0613,0.0613,0.0613,0.0613,0.0613,2.4265,1.9368,0.7213,3.2813,4.0964,2.8929
1-myristoylglycerophosphocholine,0.2281,0.1497,0.1497,0.1497,0.1497,0.4588,0.1497,0.3009,0.264,0.1497,0.1497,1.2562,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,1.081,0.1497,1,0.4342,0.1497,0.1497,0.1497,0.1497,0.1497,0.1497,2.0845,1.2263,0.612,2.5987,3.0588,2.4116
1-oleoylglycerophosphocholine,0.7598,0.8298,0.2152,0.0525,0.0525,3.6852,0.1817,2.3194,1,0.719,0.3695,10.9886,0.1575,0.0525,0.22,0.0525,0.0525,0.0525,0.0525,0.0525,8.2759,0.0525,5.6988,0.7657,0.0525,0.0525,0.0595,0.0525,0.0525,0.0525,10.1662,8.8601,4.1452,16.1272,20.1549,16.5899
1-oleoylglycerophosphoethanolamine,4.4984,7.1906,1.4551,0.9371,0.6593,1.6652,0.8384,0.8708,0.5826,0.3772,0.262,1.1666,0.8232,0.711,1.0177,1.3723,1.0782,1.7181,0.3819,0.5141,2.4908,0.5668,0.9823,6.2234,0.5419,1.2214,0.9273,1.1942,0.9223,1.2659,1.0789,1.1279,0.2955,1.704,0.3205,1.0317
1-oleoylglycerophosphoinositol,3.0169,2.2805,1.5364,0.8325,0.6428,1.2228,0.996,1.4008,0.6478,0.4052,0.4086,1.3412,0.647,0.3463,1.2225,1.3559,0.6142,1.3171,0.3387,0.7361,1.004,0.1942,1.3775,1.2678,0.5487,1.0956,0.6459,0.6589,0.8864,1.6234,1.2953,1.3759,0.3284,2.2845,0.4135,1.575
