metabolite_name,HCT116N_21-1,HCT116N_21-2,HCT116N_21-3,HCT116N_21-4,HCT116N_21-5,HCT116N_21-6,HCT116N_21-7,HCT116N_21-8,HCT116N_21-9,HCT116N_21-10,HCT116N_21-11,HCT116N_21-12,HCT116N_21-13,HCT116N_21-14,HCT116N_21-15,HCT116N_21-16,HCT116N_21-17,HCT116N_21-18,HCT116N_21-19,HCT116N_21-20,HCT116N_21-21,HCT116N_21-22,HCT116N_21-23,HCT116N_21-24,HCT116N_21-25,HCT116N_21-26,HCT116N_21-27,HCT116N_21-28,HCT116N_21-29,HCT116N_21-30,HCT116H_1-1,HCT116H_1-2,HCT116H_1-3,HCT116H_1-4,HCT116H_1-5,HCT116H_1-6,HCT116H_1-7,HCT116H_1-8,HCT116H_1-9,HCT116H_1-10,HCT116H_1-11,HCT116H_1-12,HCT116H_1-13,HCT116H_1-14,HCT116H_1-15,HCT116H_1-16,HCT116H_1-17,HCT116H_1-18,HCT116H_1-19,HCT116H_1-20,HCT116H_1-21,HCT116H_1-22,HCT116H_1-23,HCT116H_1-24,HCT116H_1-25,HCT116H_1-26,HCT116H_1-27,HCT116H_1-28,HCT116H_1-29,HCT116H_1-30,HCT116A_0-1,HCT116A_0-2,HCT116A_0-3,HCT116A_0-4,HCT116A_0-5,HCT116A_0-6,HCT116A_0-7,HCT116A_0-8,HCT116A_0-9,HCT116A_0-10,HCT116A_0-11,HCT116A_0-12,HCT116A_0-13,HCT116A_0-14,HCT116A_0-15,HCT116A_0-16,HCT116A_0-17,HCT116A_0-18,HCT116A_0-19,HCT116A_0-20,HCT116A_0-21,HCT116A_0-22,HCT116A_0-23,HCT116A_0-24,HCT116A_0-25,HCT116A_0-26,HCT116A_0-27,HCT116A_0-28,HCT116A_0-29,HCT116A_0-30,HCT116_DN2N_21-1,HCT116_DN2N_21-2,HCT116_DN2N_21-3,HCT116_DN2N_21-4,HCT116_DN2N_21-5,HCT116_DN2N_21-6,HCT116_DN2N_21-7,HCT116_DN2N_21-8,HCT116_DN2N_21-9,HCT116_DN2N_21-10,HCT116_DN2N_21-11,HCT116_DN2N_21-12,HCT116_DN2N_21-13,HCT116_DN2N_21-14,HCT116_DN2N_21-15,HCT116_DN2N_21-16,HCT116_DN2N_21-17,HCT116_DN2N_21-18,HCT116_DN2N_21-19,HCT116_DN2N_21-20,HCT116_DN2N_21-21,HCT116_DN2N_21-22,HCT116_DN2N_21-23,HCT116_DN2N_21-24,HCT116_DN2N_21-25,HCT116_DN2N_21-26,HCT116_DN2N_21-27,HCT116_DN2N_21-28,HCT116_DN2N_21-29,HCT116_DN2N_21-30,HCT116_DN2H_1-1,HCT116_DN2H_1-2,HCT116_DN2H_1-3,HCT116_DN2H_1-4,HCT116_DN2H_1-5,HCT116_DN2H_1-6,HCT116_DN2H_1-7,HCT116_DN2H_1-8,HCT116_DN2H_1-9,HCT116_DN2H_1-10,HCT116_DN2H_1-11,HCT116_DN2H_1-12,HCT116_DN2H_1-13,HCT116_DN2H_1-14,HCT116_DN2H_1-15,HCT116_DN2H_1-16,HCT116_DN2H_1-17,HCT116_DN2H_1-18,HCT116_DN2H_1-19,HCT116_DN2H_1-20,HCT116_DN2H_1-21,HCT116_DN2H_1-22,HCT116_DN2H_1-23,HCT116_DN2H_1-24,HCT116_DN2H_1-25,HCT116_DN2H_1-26,HCT116_DN2H_1-27,HCT116_DN2H_1-28,HCT116_DN2H_1-29,HCT116_DN2H_1-30,HCT116_DN2A_0-1,HCT116_DN2A_0-2,HCT116_DN2A_0-3,HCT116_DN2A_0-4,HCT116_DN2A_0-5,HCT116_DN2A_0-6,HCT116_DN2A_0-7,HCT116_DN2A_0-8,HCT116_DN2A_0-9,HCT116_DN2A_0-10,HCT116_DN2A_0-11,HCT116_DN2A_0-12,HCT116_DN2A_0-13,HCT116_DN2A_0-14,HCT116_DN2A_0-15,HCT116_DN2A_0-16,HCT116_DN2A_0-17,HCT116_DN2A_0-18,HCT116_DN2A_0-19,HCT116_DN2A_0-20,HCT116_DN2A_0-21,HCT116_DN2A_0-22,HCT116_DN2A_0-23,HCT116_DN2A_0-24,HCT116_DN2A_0-25,HCT116_DN2A_0-26,HCT116_DN2A_0-27,HCT116_DN2A_0-28,HCT116_DN2A_0-29,HCT116_DN2A_0-30
Glycine ,0.964393857,0.981817553,0.952087761,0.967333318,0.961121328,0.976097524,0.939314039,0.941514174,0.931560123,1.008486677,0.978734746,0.95643952,0.959749847,0.763663388,0.943488796,0.949860293,0.629445365,0.97701507,0.943394649,1.000527577,0.999569335,0.856422619,1.03169363,1.03738542,0.979146743,0.994677642,1.047645955,0.975320878,0.980478099,1.056970232,0.958288088,0.918792902,1.033079241,0.942122666,1.00511758,0.960950354,0.95438845,0.96761828,0.983848226,0.996814637,1.008987981,0.964631426,0.955890365,0.92026873,0.960638654,0.970955235,0.94704223,0.890845564,0.967082579,0.91841599,0.934131682,0.889269262,0.9422028,1.049194263,1.041906586,1.106931376,1.025629837,1.05198487,0.960271001,0.975913609,0.976182969,1.040133515,1.023130968,1.012134349,1.038589117,1.070207069,1.013224395,1.123654481,1.027907289,1.000025,1.013243304,1.032455581,1.037786128,0.617400049,0.615990308,0.660553189,0.979751774,1.006907246,0.927932869,0.961509425,0.96587696,0.930197062,1.032598716,0.950460954,0.97081401,0.962084067,1.073489681,0.953678794,1.068148007,0.931755198,0.999681704,0.957285151,0.996198317,0.904476593,0.934006822,0.946397438,0.967366699,0.945630648,0.990048114,0.976445443,0.952672155,0.959806979,0.979765106,0.976654979,0.965141555,0.581868583,0.380813951,0.635041682,0.987295335,0.990009534,0.951870286,0.924832874,0.878993802,0.969875883,0.999096281,0.904618377,1.0377353,0.96247417,1.059218704,1.051200309,0.998716988,0.972987463,0.874083411,0.982484898,0.941174607,0.919234255,0.9538856,0.984806627,1.028443101,0.97763047,0.975675818,0.978148535,1.013063665,0.936179436,0.633181814,0.981610363,0.51640152,0.966209567,0.857495294,0.964543768,0.969053231,0.893493502,0.883028257,1.036191742,1.049254059,0.702760365,1.011205577,1.007250783,1.011753508,1.036563685,1.054180301,1.030529345,1.0270493,1.071662256,1.062450767,1.007739117,1.046627629,0.454623637,1.058474278,1.016509207,1.032917235,0.973190182,1.014560844,1.001111573,1.009722878,1.009270313,0.992468899,1.033052628,0.920560326,0.962426853,0.980461446,0.944991064,0.980401104,1.006748364,1.076501935,0.990404397,1.066208792,1.03558823,0.840447625,0.989685535
Lactate,1.371273716,1.86332401,1.286886642,1.420886263,1.189856987,2.236526888,1.811915581,0.96218428,0.796156421,1.757075982,1.273588595,1.876715645,1.654734857,1.799864006,1.205594144,0.69337167,1.329710767,1.292646037,1.07487886,0.98353431,0.947420839,1.419573779,1.366889671,1.006343518,0.941451018,1.042685055,0.875050732,0.812943149,1.206626667,1.059455625,2.240557265,1.62847141,1.554284535,2.118726913,1.726116393,2.828674696,2.936825172,2.101140597,2.506697361,2.314859206,2.419659711,2.64682403,2.244845374,1.75642119,2.231229721,2.010908272,1.920456504,1.826872054,2.548887582,2.017783799,1.808073996,1.898922613,1.930931921,2.007328279,1.712852247,2.543671119,2.21466808,2.069002919,2.168086438,2.384842675,2.19937232,1.768989613,2.490221125,2.324983978,2.693727895,3.096613465,2.836954156,3.165624956,2.442068427,2.362478423,2.32918825,2.47118161,2.643005988,2.822381746,2.617428825,2.313974244,2.197793579,2.019701993,1.60135571,2.043773987,2.121536489,2.80548065,2.094104136,1.848608515,1.038436062,2.000485318,2.008804226,2.346508886,2.297726092,2.040102595,1.905117898,1.253655426,1.304405935,1.120756168,1.157469441,1.239779823,1.852665339,1.411020827,1.608875126,1.622072252,1.344639564,1.229581707,1.786793928,1.413060891,1.631224463,1.217298408,1.148301994,1.355122635,1.304526737,1.573312757,1.46138802,1.594683541,1.53537468,1.291090959,2.337581159,0.938841266,1.178138091,1.442369825,1.676028524,1.317478158,1.945448297,2.243833497,1.58795403,2.069625456,1.834945135,1.643205361,2.076327544,2.410561504,2.51638791,1.872140887,2.037660326,2.015480576,2.294405713,2.188956187,2.002173409,1.765439054,2.598196597,1.858002529,1.371937278,2.14174559,2.373914508,2.152267439,1.968107709,2.464115761,2.054243192,2.411160623,1.587654933,2.119112023,2.309335776,2.171901646,1.764579025,2.381048631,2.609224852,2.803642343,2.073140111,2.570620179,3.062737866,2.845424927,3.02101255,2.583842812,2.39823856,2.326597071,2.892789284,2.412059236,2.415662771,2.586892876,2.450921659,3.013866843,2.201098969,2.163310568,2.565967643,2.300269325,2.697814795,1.726240846,2.463743755,2.106790177,2.192088788,2.203594084,2.713234529,2.467119141
Pyruvate,0.050295364,0.086917273,0.047104937,NA,NA,0.095232774,0.067676311,0.011260184,0.018098169,0.076893566,0.034419794,0.080717709,0.065675832,0.016641275,0.036618429,0.025810436,0.048762299,0.045527989,0.041956298,0.029657905,0.033785496,0.045070185,0.063841525,0.025586448,0.028735721,0.05805559,0.04330669,0.018939944,NA,0.041462153,0.069019989,0.045473473,0.108304647,0.043810945,0.127310277,0.098764614,0.02112809,0.060538757,0.096709081,0.065899283,0.065009596,0.110730799,0.04371667,0.025975066,0.043687514,0.037552136,0.033028364,0.031144911,0.079319883,0.027086164,0.023179955,0.027490321,0.025875424,NA,0.024883635,0.078446942,0.050334757,0.052637827,0.063564737,0.030647076,0.035829104,0.090708748,0.056051566,0.120723953,0.054577219,0.095913621,0.055528531,0.095829589,0.033889533,0.046669286,0.042617349,0.062549862,0.050246482,0.056105066,0.059719101,0.044030769,0.039069619,NA,NA,0.033229919,0.040130958,0.015826111,0.053799904,0.024614897,NA,0.048996118,0.034942021,0.081485956,0.043751884,0.013258278,0.06315484,0.028933613,0.032060926,0.030349075,NA,0.030620446,0.050007623,0.033980616,0.04667049,0.044683112,0.032360672,0.025718227,NA,0.031514523,0.041467471,0.028006789,0.014146922,0.020027601,NA,0.0415036,0.031413143,0.029759061,0.034276661,NA,0.033338684,0.009331468,0.041025782,0.04317238,0.057724805,0.052538168,0.055426212,0.080375004,0.027036615,0.054237517,0.038455836,0.037894935,0.047262849,0.054423261,0.074646799,0.03552428,0.018414941,0.039274589,0.072083663,0.041245456,0.037771404,0.010535634,0.072336898,0.028752234,0.005628758,0.043578071,0.060551176,0.033451668,0.028316695,0.046915163,0.05907915,0.044272801,0.022540014,0.05220765,0.015346056,0.053188116,0.05963327,0.043336771,0.052928259,0.06697589,0.057343702,0.042306712,0.068145101,0.061444692,0.10339073,0.074453745,0.034386341,0.042926962,0.08144981,0.034996892,0.00642327,0.048600429,0.057048108,0.086848291,0.051672499,0.034626061,0.065192502,0.050897751,0.050123008,0.035159595,0.084419761,0.058982873,0.06365093,0.045235755,0.029363782,0.054895293
Leucine,0.104938892,0.135555466,NA,0.108228096,0.097101915,0.17214222,0.115318178,0.092023405,0.067729176,0.128821986,0.116827338,0.136416314,0.147106531,0.108981443,0.085011015,0.084646972,0.088451502,0.094313736,0.085934888,NA,0.080765402,0.081360067,NA,0.178061294,0.126651563,0.248311321,0.186267906,NA,0.099239738,0.048049169,0.175760572,NA,0.221718217,0.144771023,0.264706337,0.249042754,0.203315359,0.154201308,0.224444765,0.172791814,0.238871947,0.253279695,0.163170789,0.115772563,NA,0.112689865,0.12416903,NA,0.227621346,0.099404687,0.096347639,NA,0.769664538,NA,NA,NA,NA,0.109518594,0.155968236,0.181698815,0.154907474,0.268109777,0.230748916,0.203497023,0.301511709,0.373730791,0.241866295,0.367725893,0.272518016,0.183310406,0.217606074,0.221122502,0.236280592,0.259625573,0.233995827,0.149844321,0.141788071,0.120761216,NA,NA,0.130090151,0.238702916,0.654177584,0.282497137,0.056261523,0.117224484,0.177351809,NA,NA,NA,0.146590416,0.076750381,0.105784871,0.088722352,0.074561163,0.09697013,0.119583934,0.094788932,0.115206226,0.128563075,NA,0.075073564,0.115074159,NA,0.100937115,NA,0.085468354,0.088077252,0.084684623,0.107907991,0.093153544,0.095208466,0.0845017,0.848191672,NA,0.278965582,0.075921657,0.104717825,NA,0.067049565,0.162389071,0.184251543,0.089958894,0.169886117,0.115412441,NA,0.17085857,0.189153473,NA,0.141941852,0.153938578,0.167696718,0.20288691,0.157910813,0.127676345,NA,0.213778891,NA,0.077398898,0.173612753,0.200807069,0.137899652,NA,1.21943289,0.220435433,0.275330363,0.091619106,0.109203164,0.194073767,0.105360446,0.384494942,0.208563014,0.24892089,0.335490822,0.43159315,0.221723643,0.401733126,0.316134113,0.360935029,0.251681388,0.225736954,0.178931125,0.324293348,NA,0.19329694,0.202409846,0.183343235,0.345331189,0.164850433,0.137509433,0.271438134,0.201334714,0.262212609,0.630946192,0.733425563,NA,NA,0.104499486,NA,0.292833173
Glycerol,0.025217606,0.037520918,0.024635154,0.026583873,0.020190739,0.048360546,0.028828749,0.016176816,0.015779619,0.032560498,0.023443877,0.034752899,0.034281678,0.05026862,0.02204534,0.015160421,0.023468564,0.023265087,0.021146546,0.018366281,0.017823834,0.02189624,0.025689853,0.020822373,NA,0.033594339,0.027347728,0.020968101,0.021648972,NA,0.053883482,0.02891288,0.070252048,0.036798632,0.089797872,0.079486996,0.066842835,0.044163303,0.070505725,0.050641807,0.061976355,0.081790931,0.040712223,0.027675873,0.040579798,0.037379036,0.037373725,0.030184435,0.071578855,0.029797973,0.025949821,0.028925899,0.023274068,0.042183054,0.023426251,0.058651845,0.036476918,0.031919767,0.046456818,0.057238629,0.06476462,0.126047388,0.092556441,0.054452492,0.109389069,0.153567521,0.097936422,0.161850954,0.083993245,0.07411014,0.080026373,0.087727282,0.090734281,0.108726273,0.093230849,0.060180633,0.057901041,0.045985289,0.036651917,0.057077257,0.056992475,0.085931626,0.059591883,0.032995377,0.021964116,0.042891989,0.060312617,0.091706322,0.051565126,0.043564412,0.03038334,0.024284049,0.020491395,0.018572827,0.017697532,0.017995743,0.024401539,0.019567477,0.024291292,0.025586905,0.020245608,0.016926308,0.026325165,0.018619397,0.021677588,0.019521807,0.018321763,0.021737074,0.022603494,0.024233511,0.020287121,0.021287857,0.019135422,0.020967521,0.04236971,0.021473886,0.020201046,0.025802646,0.030127358,0.015875004,0.032125845,0.043923062,0.022173815,0.036685128,0.027359605,0.025666909,0.037394693,0.044615171,0.050359388,0.030059062,0.032812947,0.031640335,0.043281565,0.033236443,0.031351069,0.028270465,0.065215685,0.030514899,0.024015604,0.040097375,0.053060282,0.033899676,0.027239193,0.037826456,0.036796815,0.046405768,0.022188397,0.039335655,0.050278222,0.029456855,0.102169646,0.066803678,0.083509754,0.114930347,0.163126793,0.069457712,0.116942844,0.101672119,0.125817869,0.086552833,0.065693708,0.058644875,0.109307866,0.061258703,0.047861031,0.066858828,0.054053869,0.124288644,0.054827237,0.051187181,0.083962655,0.057405435,0.079029451,0.031548867,0.076399689,0.052382952,0.055742734,0.038584835,0.050653524,0.077609506
Norleucine,0.109807621,0.146794557,0.096334019,0.111878758,0.102276565,0.188553993,0.133590856,0.09339799,0.070431068,0.136850355,0.116212831,0.140446832,0.137197846,0.127262342,0.092488433,0.111672197,0.109090843,0.122260368,0.118839122,0.104391307,0.111383624,0.109687234,0.080223728,0.086566329,0.063898314,0.130102548,0.126500565,0.054645796,0.131180398,0.054111232,0.151728262,0.097836085,0.218039593,0.140317685,0.255316672,0.263145862,0.216596881,0.145577336,0.206231235,0.162889869,0.231747952,0.259627374,0.15429256,0.10937509,0.149777584,0.112348755,0.125116764,0.105822204,0.236176772,0.101202813,0.092087742,0.099408289,0.088679105,0.086245509,0.059505006,0.144800026,0.100818237,0.105179936,0.141041704,0.168335578,0.152602304,0.253699889,0.201580893,0.18846924,0.285752571,0.350808641,0.237033946,0.347268968,0.253815371,0.164543462,0.185154959,0.19682653,0.21055147,0.257231059,0.224566679,0.13675604,0.135572339,0.109759852,0.081307439,0.122144839,0.111894169,0.24962191,0.131706337,0.078596055,NA,0.05465812,0.12701251,0.175235748,0.124599801,0.102039921,0.177045642,0.102815889,0.129394476,0.080655263,0.080657041,0.089333629,0.143611916,0.113947546,0.117253698,0.136763659,0.091811613,0.083773065,0.121555229,0.096013817,0.103446018,0.097378701,0.097215243,0.108102729,0.122127732,0.132389026,0.115213085,0.130590887,0.099353629,0.088959541,0.152277151,0.107167382,0.07411351,0.116791658,0.137094898,0.068446234,0.173986693,0.171242683,0.088504667,0.161999872,0.116294434,0.103719247,0.163151708,0.193108235,0.235984469,0.135457515,0.149805018,0.149836113,0.20411886,0.156076949,0.123930279,0.120327351,0.213054104,0.109316683,0.061065012,0.173244436,0.187568717,0.14011062,0.117080336,0.227326871,0.097165333,0.19047118,0.070875731,0.094741172,0.183603972,0.095765501,0.384526357,0.192946863,0.220467113,0.320177341,0.419596655,0.213096501,0.385192495,0.308486473,0.326005064,0.21218029,0.196538273,0.156948385,0.329393618,0.184059271,0.176323751,0.198458438,0.184771501,0.33986315,0.152194207,0.123541177,0.240406753,0.185467014,0.253808125,0.092549657,0.211818947,0.180288035,0.130757718,0.087827115,0.128894948,0.225399491
Malonate,0.674726828,0.692393809,0.665617436,0.679340648,0.637406413,0.636749759,0.632336807,0.636455338,0.619166871,0.685120016,0.671523748,0.652799445,0.672685925,0.639431659,0.648278816,NA,0.650980022,0.663676677,0.620321699,0.648983905,0.623288045,0.621756057,0.677072404,0.669649297,0.612608039,0.654534059,0.678396196,0.568998018,0.606143955,0.656729851,0.638213428,0.630265946,0.715981912,0.655700966,0.702655581,0.699589971,0.715592066,0.662783938,0.6882637,0.685078967,0.685787916,0.720593241,0.655319577,0.659931673,0.657988728,0.641463388,0.635218616,0.645960546,0.694568658,0.692014284,0.641378206,0.664141969,0.625597864,0.666017891,0.671793703,0.730644297,0.70700831,0.72352148,0.681459456,0.701124321,0.681947683,0.747610476,0.701444017,0.7097472,0.706898291,0.702257028,0.645624284,0.776323909,0.708284635,0.675180612,0.711755592,0.715200365,0.697957924,0.762270227,0.737826806,0.685942482,0.685521739,0.674809098,0.646258831,0.656680755,0.678512649,0.708668283,0.703984726,0.623805837,0.62317384,0.563552881,0.686538667,0.685841765,0.693217894,0.680552344,0.69564964,0.646140596,0.662476493,0.620604499,0.624340768,0.614603942,0.704511912,0.664703457,0.656000395,0.675591528,0.649854815,0.646461063,0.652172442,0.642618328,0.655763204,0.64158327,0.65678379,0.673695864,0.658110655,0.615786183,0.632687045,0.710963308,0.612559528,0.630498832,0.693678978,0.570640153,0.686760884,0.684104392,0.656754401,0.708755272,0.693080994,0.698498761,0.533715771,0.681966791,0.627994867,0.641319743,0.677371463,0.738320463,0.71117264,0.673706962,0.651233643,0.667876933,0.688439613,0.677143921,0.640576658,0.668885441,0.674009872,0.644646108,0.577561622,0.667382538,0.686290623,0.670595665,0.618977141,0.696940033,0.678813626,0.658525622,0.648390932,0.659584035,0.720629292,0.614978315,0.630182173,0.725763024,0.711596071,0.720817029,0.672104102,0.693807224,0.661638064,0.874670217,0.760642047,0.714013138,0.703202674,0.67679869,0.738342118,0.669355637,0.713758152,0.67441279,0.692052287,0.719882889,0.663903923,0.667099896,0.683124265,0.655793,0.672692895,0.668436782,0.71867048,0.646668326,0.727616257,0.644305616,0.622051497,0.693910388
Phosphate,1.543395192,1.797146935,1.67873326,1.897173492,3.923876831,3.971384,2.393937757,3.988630935,1.961964572,2.418273889,3.932884441,2.040121869,3.874128285,1.687988923,2.425582445,2.24504091,1.423775177,1.562113503,1.407670391,1.421309807,0.911765758,1.538257294,1.935473717,1.872099973,1.893969485,2.378615469,1.743169581,1.656054551,0.73023619,1.533921973,2.037795921,1.977442263,2.442212776,NA,2.240507309,2.273391494,2.138078409,3.956957943,4.225467527,3.286843915,1.636728784,1.497713855,1.333695208,1.225487443,1.335183865,2.607737838,1.404974856,2.53163706,2.629301738,3.370154139,1.585314658,1.628007087,2.359433415,1.6450128,1.033314108,2.067474498,2.686470557,1.426530587,1.217036558,1.27647741,1.800049909,1.901257699,2.385105758,4.416907622,2.713162466,3.084295693,2.498571308,3.345835547,2.950010962,4.274764761,4.500670068,2.511680222,2.638337446,1.699463919,1.565793619,4.331261181,2.288420516,2.973715994,2.822973214,2.876383334,1.312694737,1.583483659,2.515559003,2.120558515,1.86451083,2.082162437,1.443392562,1.327328352,1.677245199,1.399150796,1.93053357,2.521887121,1.605286995,1.250309711,1.801810049,2.464070444,2.363863729,2.352264159,4.407126506,2.290931329,2.116826864,1.993248812,1.8156579,2.442726073,1.30039002,2.006659997,3.617951537,3.35478973,2.753007264,1.700902888,2.868955345,1.577881065,1.618397784,2.215474984,2.252555035,2.353550669,1.125802733,0.864912194,2.306037364,1.191271103,1.749445541,1.726299994,1.691173419,3.652107474,1.890078264,2.005420125,3.876922713,2.471828614,4.692245647,2.461673619,2.357825937,2.259179556,2.037663905,1.460252021,2.207832405,1.723317661,3.061467278,2.365036998,1.03435353,1.249500808,1.385606277,1.49973216,1.499267713,2.503989885,1.852745713,1.552383359,1.311472845,0.909199174,1.354150286,1.575288305,2.284156499,1.892404683,2.017171874,2.827133425,5.201054274,2.684877899,3.004930786,4.291505072,3.015742972,2.561696286,2.7270515,2.309611076,2.511522788,2.364179735,1.73649421,5.023043965,2.409856643,1.062313183,1.755897483,1.354614794,1.898426386,1.675654071,2.044272872,2.263579713,1.329921054,3.549312635,2.017293585,1.038761795,2.158137663,2.448642032
Threonine,0.01899716,NA,0.016842896,0.021259588,0.021405612,0.023594599,0.022844512,NA,0.011325421,0.023014011,0.019281937,0.017722575,0.019682267,0.018248055,0.014236834,0.009058825,0.012849717,0.01196415,0.011141112,0.013185497,0.012785468,0.01148204,0.012362579,0.013683844,0.010461506,0.012049066,0.009992989,0.008912904,0.021850901,0.011141158,0.019199954,0.013985969,0.029302735,0.017604568,NA,0.031226395,0.004295311,0.019158983,0.023080612,0.017930072,0.005436901,0.025142635,0.021596124,0.013438125,0.016516593,0.01124443,0.010470815,0.012134859,0.023588415,0.010059515,0.008044748,0.010173264,0.00387907,0.013581572,0.019059655,0.044601593,0.029183798,0.018260557,0.014703036,0.016965109,0.015678654,NA,0.033167032,0.033193674,0.045634774,0.045854539,0.0276992,0.055804779,0.046718857,0.024707685,NA,0.00466535,0.030067228,0.004186222,0.030795714,NA,0.014136579,0.015006377,0.010647109,0.002262328,NA,0.027018575,NA,0.008476536,0.002266515,0.008251662,0.011565672,0.027621855,0.046306022,0.019182905,0.025044291,0.013826699,0.018384998,0.012118681,0.012235987,0.006213772,0.02272514,0.020342257,0.004167541,0.020809812,0.012905002,0.008236999,0.008638477,0.01297494,0.013303498,0.013092434,0.01147683,0.012557674,0.017800818,0.014479682,0.015289726,0.015385353,0.010771606,0.011207663,0.015187952,0.011738637,0.016944739,0.035195972,0.028981688,0.008664273,0.022236325,0.02180129,0.010418157,0.025856476,0.012951978,0.013771803,0.020374972,0.030416657,0.032591572,0.017938239,0.017917399,0.021373783,0.023181588,0.022009483,0.007705912,0.013345156,0.002934727,0.004518163,0.007350038,0.00159006,0.006346496,0.014159505,0.010247785,0.0240959,0.012884375,0.015000456,0.012486107,0.025825855,0.004304532,0.012054319,0.003894511,0.00219704,0.032175986,0.008619301,0.050485895,0.007247556,0.049786755,0.037367339,0.054532474,0.031948035,0.034829347,0.022296403,0.037642144,0.018102036,0.020050915,0.022615888,0.013734265,0.023963171,0.013850828,0.015461408,0.025971976,0.019439593,0.021787808,0.013595736,0.030401413,0.023067016,0.021057543,0.027726366,0.01207821,0.023997481
Beta-alanine,0.025320558,0.027919698,0.018897909,0.024714633,0.022627436,0.02484061,0.023342159,0.021012982,0.016097421,0.04604172,0.026939058,0.025293947,0.022547847,0.017560228,0.017101614,0.025543453,0.025899279,0.029050915,0.02692087,0.026392452,0.022420296,0.02068746,NA,0.032388683,NA,0.041964996,NA,0.018584054,NA,0.014675427,0.017408543,0.015000963,0.020736158,0.013808739,0.019910543,0.022270078,NA,0.016082783,NA,0.018728002,0.02057966,0.0184071,0.018171021,0.015136668,0.01614483,0.012966384,NA,0.01149695,0.020220738,0.009633184,0.011721896,0.012180655,0.010806437,0.018226877,0.014186662,0.015555252,0.015049192,0.019512791,NA,0.018076215,0.014380578,0.027193219,0.022728123,NA,0.03684122,0.027825452,0.017526517,0.031298459,0.033064426,0.021512934,0.028683438,0.024508594,0.033018644,0.028601345,0.023380531,0.022378082,0.022154583,0.020460358,0.01964648,0.022181994,0.01930559,0.015765143,0.020396605,0.021042323,0.00781347,0.013736698,0.025156091,0.020863352,NA,0.020798387,0.04284371,0.023035907,0.032414324,0.022711734,NA,0.029718639,NA,0.025770244,0.03912015,0.034594156,0.023967483,0.024643914,NA,0.023522449,0.027587901,NA,0.031322573,0.03446987,0.038068561,0.035599626,NA,0.030558638,NA,0.028202809,0.026712859,0.028545146,0.03173871,0.038299174,0.043355459,0.030570399,0.024529876,0.02449294,0.008565622,0.023953926,0.013566864,0.014512418,0.01576637,0.023501979,0.03286419,0.020372395,0.02145814,0.024056219,0.026866135,0.0181413,0.013688455,0.016136942,0.020504403,0.014367421,0.01037929,0.017336918,0.017479353,0.012298225,0.012003071,NA,0.015991032,0.006521852,0.013614458,0.01312876,NA,0.014394926,0.007627558,0.020022424,0.019760937,0.016403752,0.022717303,0.01781764,NA,NA,0.022897219,0.015880769,0.012854765,0.023323199,0.019636523,0.012707389,0.007189951,0.016728177,0.01538392,0.020499193,0.012896083,0.013116472,0.030086571,0.016483181,0.015037362,0.020195224,NA,0.026108544,0.011643281,0.021018137,0.004332997,0.017014176
