metabolite_name,20170523_DCISmfexp_fulllumen1,20170523_DCISmfexp_fulllumen2,20170523_DCISmfexp_fulllumen3,21517_DCISmfexp_ctrl1,21517_DCISmfexp_ctrl2,20170327_DCISmfexp_ctrl3,21517_DCISmfexp_DCIS1,21517_DCISmfexp_DCIS2,20170327_DCISmfexp_DCIS3,21517_DCISmfexp_lumen1,21517_DCISmfexp_lumen2,20170419_DCISmfexp_lumen4
2-Hydroxyisovalerate,0,0,0,0,0,0,8.6,8.8,8.6,0,0,0
2-Oxoglutarate,4.3,2.5,2,6.7,4.7,5.3,1.2,1.1,2.1,5.7,4.7,3
2-Oxoisocaproate,5.4,4.7,4.8,1.4,1.2,1.1,2.7,3.1,1.1,7.5,5.6,3.3
3-Aminoisobutyrate,5.1,6.8,4.2,4.9,5.2,4.3,8.8,6.7,4.8,5.5,4.1,4.6
3-Hydroxybutyrate,8.1,5.5,6,2.2,2.4,2.5,4.3,3.7,3.9,4.9,4.6,5.6
3-Hydroxyisovalerate,4,4,3.9,2,1.8,1.2,3.3,3.6,7.5,1.7,0.9,2.6
3-Methyl-2-oxovalerate,6.9,4.6,2.8,1.7,0.9,1.3,2.9,3.2,2.7,7.9,7.4,6.1
4-Hydroxybenzoate,2.3,1.8,2,5,3.7,2.4,2.6,1.8,3.3,8.5,9.3,2.3
Acetate,291.5,201.7,267.5,352.1,318,401.9,272.8,279.8,388.7,215.4,200.2,308.9
Alanine,92.6,93.5,96,8.6,10.8,13.8,31.8,35.6,44.4,20.2,18.6,47
Arginine,83.9,82.4,88.7,79.9,43,80.1,30.3,30.7,41,70,42.9,29.1
Asparagine,22.2,16.3,18.1,10.8,9.8,12,9.1,10.1,9.9,22.5,17.7,8.6
Aspartate,7.7,4.9,3.9,7.2,10.2,11.6,6.6,8.3,7.3,9.2,5.4,5.3
Benzoate,4.4,3,2.4,3.5,4.3,5.3,4.7,4.8,2.7,3.2,3.6,4.6
Biotin,5.5,5.5,3.9,5.9,5.4,6.6,3.6,3.2,3.3,3.6,3.8,5.5
Choline,3.4,3.2,2.5,9.7,9.3,15.2,1.8,4.7,3.5,10.6,11.9,8.8
Cysteine,3.9,3.5,4.9,9.6,8.3,6.9,8.8,8.7,5.6,4.4,7,3.5
