metabolite_name,UN1,UN2,UN3,UN4,UN5,UN6,UH1,UH2,UH3,UH4,UH5,UH6
pyruvic acid,14337.39,14868.29,17477.32,7047.34,28755.08,13813.32,13060.01,16118.42,14651.53,22102.18,4613.47,20586.18
lactic acid,7477986.55,8029980.13,7327690.51,4047788.89,6647481.39,6353960.85,15789898.75,12376496.76,12674716.76,11240741.48,19835614.55,12990249.86
norvaline,57181.29,98596.26,35643.88,87871.3,96031.35,61013.14,45003.08,36474.21,45516.24,35311.87,42321.6,46925.48
hydroxylamine,25262.44,11967.04,8776.45,18234.8,15528.08,14626.82,22658.14,23829.88,25001.29,14122.2,15319.99,10037.06
hematoporphyrin,17186.49,13351.56,24775.44,19981.02,31547.22,32787.13,27391.65,33536.89,46223.61,34169.71,16381.75,34404.51
lactamide ,20812.66,22090.72,20974.03,19623.97,15015.07,20041,21099.32,18012.77,27683.42,43516.04,19128.59,26880.69
Isoleucine,1516983.97,1693841.37,2718461.8,2090850.41,2179672.66,2666915.52,1559620.55,1876322.29,2043422.14,1550114.5,1095628.08,1264671.45
3-hydroxybutyric acid,47471.3,72249.03,94254.26,68003.25,79824.72,158849.96,62931.29,117525.99,81312.7,59360.39,37909.61,55224.43
2-Keto-3-methylvaleric acid ,18731.79,26386.8,20748.63,24244.9,41039.49,26352.1,15417.74,21454.98,20064.06,10458.58,13904.51,18951.61
pyrophosphate ,38769035.8,40670111.7,22962808.5,44509726.7,29195573.5,35474385.7,11432631.5,9829520.41,9488656.18,7065425.23,10227311.2,31949110.1
benzoic acid,33654.88,25976.59,29172.58,25794.52,28347.64,27139.62,86006.54,114561.31,35750.17,23527.49,11756.83,54320.47
dihydroxyacetone,34387.49,15178.09,29003.99,18250.69,24205.06,24205.06,36770.79,31286.36,48091.48,26957.27,45702.77,37761.73
serine ,88373.95,71833.97,168903.34,72048.95,98441.33,91046.43,187775.12,137597.39,177996.01,143718.45,184279.87,355975.48
ethanolamine,63997.24,40713.67,28679.91,40483.46,34842.05,30851.8,31321.38,50662.43,47086.74,28059.2,28278.53,37081.66
pyrophosphate ,343043.02,275799.1,241147.5,356407.87,345243.61,388537.69,112694.62,157020.55,13323.59,68748.88,23881.6,34951.94
urea,202805.5,74436.8,143504.74,202632.31,162837.32,74811.78,196741.58,62935.2,196741.58,196741.58,306497.75,220791.79
phosphate,1037171.88,1749860.05,1679003.91,1517729.77,2048281.34,1658581.56,1364485.28,1431383.84,1286444.41,1311596.79,1019310.87,1474745.92
threonine ,2045854.4,3970864.84,5560585.38,4632970.38,5827231.07,6492254.89,1060083.35,1101735.76,1116312.73,1464804.71,1092621.07,1688270.74
glycine ,18165235.3,10986250,7043340.64,13011359.8,12402050.9,9304409.77,2301300.68,1087678.31,1697403.34,1148264.18,2393838.31,1698843.57
succinic acid,602601.76,1249951.24,701320.95,824515.25,1438872.14,718087.02,626244.9,615503.46,358715.3,821412.15,597440.27,197171.97
glyceric acid,6653.58,14790.03,15086.62,11621.45,17251.02,13622.92,8089.38,10673.98,7111.58,23795.7,5693.58,5580.51
uracil,12935.23,28990.97,32616.11,56180.63,33870.28,31103.45,20167.89,19923.27,10918.26,20285.6,21962.66,12985.8
fumaric acid,265371.38,393078.95,245640.88,384283.22,411111.85,312826.48,232312.76,263321.97,244474.18,211247.96,312389.93,202731.87
pelargonic acid,38193.64,43391.04,26767.91,26598.92,36387.99,26198.11,15008.21,28282.31,17124.21,25248.06,21139.06,19564.04
Methionine,114244,212778.32,292953.39,197179.6,250489,267513.59,151939.98,166135.26,212561.37,130119.99,107019.11,135691.6
aspartic acid ,476655.71,916365.84,1079819.18,864024.71,989574.73,1135575.19,590486.49,671105.01,773399.22,533205.1,516412.58,640919.01
Alanine ,1613066.69,1028163.74,409111.82,1094895.73,677074.76,590989.64,253394.25,273832.74,351625.56,57883.72,333830.99,166541.51
aminomalonic acid,146787.69,137154.21,165806.91,218726.85,134097.62,143436.53,45957.94,30779.49,50496.11,31679.44,32332.08,117538.82
Malic acid,7071562.13,8819426.67,5880489.5,8418798.28,9752265.9,9529767.02,4910923.05,5433753.08,5547583.79,4707573.8,4947982.76,5323066.25
threitol,293918.66,420003.88,350029.98,405324.75,434426.61,427096.71,224480.06,240226.91,259083.23,235365.55,140421.69,286363.2
oxoproline,33813737.6,61377600.6,50527719.1,63111707.2,55994248.4,51709978.9,22068570.9,28028413.4,25342559.5,21403578.9,30910281.7,44235505.6
4-aminobutyric acid ,300389.94,222839.56,64594.61,217427.93,85779.14,68757.45,130597.53,12019.98,17416.67,130597.53,13375.29,479578.18
threonic acid,139961.62,203235.96,179749.9,198079.74,201997.62,218596.29,187290.87,205161.58,190399.5,191447.85,94912.07,124787.95
fumaric acid,41237.69,72786.05,60925.91,47052.62,117627.12,61870.52,62139.07,101898.75,65187.41,55895.97,27433.29,39010.38
