Compound name,Compound name (synonym),,,,,,,,,,
3-methyl-2-oxovalerate,3-methyl-2-oxovalerate;Ketoisoleucine;2-Keto-3-methylvaleric acid,,,,,,,,,,
alpha-ketoglutarate,alpha-ketoglutarate;2-Oxoglutaric acid;2-oxoglutarate;alpha-ketoglutaric acid,,,,,,,,,,
Pyroglutamate,Pyroglutamate;5-oxoproline;Pyroglutamic acid;oxoproline,,,,,,,,,,
trans-4-hydroxyproline,trans-4-hydroxyproline;Trans-4-hydroxy-L-proline;Hydroxyproline;4-hydroxyproline,,,,,,,,,,
4-methyl-2-oxopentanoate,4-methyl-2-oxopentanoate;2-Ketoisocaproic acid;4-methyl-2-oxopentanoic acid;4-Methyl-2-oxovaleric acid;2-Oxoisocaproate,,,,,,,,,,
glucose 6-phosphate,glucose 6-phosphate;glucose-6-phosphate;G6P,,,,,,,,,,
glycerol 3-phosphate,glycerol 3-phosphate;Glycerol 3-phosphate;Glycerophosphoric acid;Glycerol-3-phosphate;G3P,,,,,,,,,,
GMP,GMP;guanosine 5'-monophosphate;5'-GMP,,,,,,,,,,
Sarcosine,Sarcosine;N-Methylglycine;Methylglycine;Sarcosinic acid,,,,,,,,,,
thiamin,thiamin;Thiamine;Vitamin B1,,,,,,,,,,
uridine 5'-triphosphate,uridine 5'-triphosphate;Uridine triphosphate;UTP,,,,,,,,,,
guanosine 5'-triphosphate,guanosine 5'-triphosphate;Guanosine triphosphate;GTP,,,,,,,,,,
glycerophosphorylcholine,glycerophosphorylcholine;Glycerophosphocholine;GPC,,,,,,,,,,
S-adenosylmethionine,S-adenosylmethionine;SAM,,,,,,,,,,
"glutathione, oxidized","glutathione, oxidized;glutathione oxidized;Oxidized glutathione;Glutathione disulfide;GSSG;Glutathione (GSSG)_divalent",,,,,,,,,,
beta-hydroxyisovalerate,beta-hydroxyisovalerate;3-hydroxyisovaleric acid;3-Hydroxyisovalerate,,,,,,,,,,
Fructose 6-phosphate,Fructose 6-phosphate;fructose-6-phosphate,,,,,,,,,,
GSH,"GSH;Glutathione;glutathione, reduced",,,,,,,,,,
gamma-glutamylmethionine,gamma-glutamylmethionine;gamma-Glu-Met;gamma-L-glutamyl-L-methionine;L-gamma-glutamyl-L-methionine,,,,,,,,,,
isoleucylglutamate,isoleucylglutamate;isoleucylglutamic acid;Isoleucyl-Glutamate;L-Isoleucyl-L-Glutamate;Isoleucine-Glutamate dipeptide,,,,,,,,,,
S-adenosylhomocysteine,S-adenosylhomocysteine;SAH,,,,,,,,,,
flavin mononucleotide,flavin mononucleotide,,,,,,,,,,
